,0,1,name
0,Price,1420.4,ACC
1,Mkt Cap,266671.0,ACC
2,Vol,44.7,ACC
3,P/E,23.0,ACC
4,P/CF,12.6,ACC
5,EPS (TTM),61.6,ACC
6,% ch,-0.1,ACC
7,No. of shares,187.75,ACC
8,% ch week,2.4,ACC
9,% ch 1-mth,5.7,ACC
10,% ch 12-mth,-4.9,ACC
11,52 week H/L,"1,707.7/895.5",ACC
12,52weekHigh,"1,707.7",ACC
13,52weekLow,895.5,ACC
14,Indian Promoters,50.0%,ACC
15,Foreign collaborators,0.3%,ACC
16,Indian inst/Mut Fund,15.6%,ACC
17,FIIs,16.7%,ACC
18,ADR/GDR,0.0%,ACC
19,Free float,17.4%,ACC
20,Shareholders,102794,ACC
21,Pledged promoter(s) holding,0.0%,ACC
22,REGD OFF,"Cement House, 121, Maharshi Karve Road, Mumbai - 400 020",ACC
23,E-MAIL,brr.info@acclimited.com,ACC
24,TELEPHONE,(022) 3302 4469,ACC
25,SECTOR,CEMENT,ACC
26,TR AGENT,In-house,ACC
27,AUDITOR,S. R. Batliboi & Assoc.,ACC
28,CHM, N. S. Sekhsaria,ACC
29,COMP SEC, Burjor D. Nariman,ACC
30,YEAR OF INC, 1936,ACC
31,BSE CODE, 500410,ACC
32,FV (Rs), 10,ACC
33,DIV YIELD (%), 1.0,ACC
