,0,1,name
0,Price,698.0,ACTN
1,Mkt Cap,4101.0,ACTN
2,Vol,0.0,ACTN
3,P/E,7.8,ACTN
4,P/CF,4.5,ACTN
5,EPS (TTM),88.9,ACTN
6,% ch,4.0,ACTN
7,No. of shares,5.88,ACTN
8,% ch week,3.8,ACTN
9,% ch 1-mth,5.6,ACTN
10,% ch 12-mth,-17.9,ACTN
11,52 week H/L,956.0/421.0,ACTN
12,52weekHigh,956.0,ACTN
13,52weekLow,421.0,ACTN
14,Indian Promoters,48.6%,ACTN
15,Foreign collaborators,0.0%,ACTN
16,Indian inst/Mut Fund,3.2%,ACTN
17,FIIs,1.5%,ACTN
18,ADR/GDR,0.0%,ACTN
19,Free float,46.7%,ACTN
20,Shareholders,9364,ACTN
21,Pledged promoter(s) holding,0.0%,ACTN
22,REGD OFF,"No.9A, Valluvar Street, Sivanandha Colony, Coimbatore 641012",ACTN
23,E-MAIL,acmambikacottonmills@gmail.com,ACTN
24,TELEPHONE,0422-2491501,ACTN
25,SECTOR,TEXTILES,ACTN
26,TR AGENT,M/s S.K.D.C. Consultants Limited,ACTN
27,AUDITOR,L. Venkatasubbu & Co.,ACTN
28,COMP SEC, Sri Radhe Shyam Padia,ACTN
29,YEAR OF INC, 1988,ACTN
30,BSE CODE, 531978,ACTN
31,FV (Rs), 10,ACTN
32,DIV YIELD (%), 4.2,ACTN
