,0,1,name
0,Price,225.7,ADPA
1,Mkt Cap,8974.0,ADPA
2,Vol,3.7,ADPA
3,P/E,5.0,ADPA
4,P/CF,3.3,ADPA
5,EPS (TTM),45.2,ADPA
6,% ch,-0.4,ADPA
7,No. of shares,39.77,ADPA
8,% ch week,1.7,ADPA
9,% ch 1-mth,0.9,ADPA
10,% ch 12-mth,-49.0,ADPA
11,52 week H/L,451.5/115.0,ADPA
12,52weekHigh,451.5,ADPA
13,52weekLow,115.0,ADPA
14,Indian Promoters,0.0%,ADPA
15,Foreign collaborators,75.0%,ADPA
16,Indian inst/Mut Fund,3.1%,ADPA
17,FIIs,0.9%,ADPA
18,ADR/GDR,0.0%,ADPA
19,Free float,21.0%,ADPA
20,Shareholders,12324,ADPA
21,Pledged promoter(s) holding,0.0%,ADPA
22,REGD OFF,"East Godavari District, Rajahmundry, Andhra Pradesh - 533 105",ADPA
23,E-MAIL,sectrjy@andhrapaper.com,ADPA
24,TELEPHONE,(0883) 247 1831,ADPA
25,SECTOR,PAPER,ADPA
26,TR AGENT,"Sathguru Management, 15, Hindi Nagar, Punjagutta, Hyderabad-34",ADPA
27,AUDITOR,B. S. R & Co.,ADPA
28,CHM, L. N. Bangur,ADPA
29,COMP SEC, C. Prabhakar,ADPA
30,YEAR OF INC, 1964,ADPA
31,BSE CODE, 502330,ADPA
32,FV (Rs), 10,ADPA
33,DIV YIELD (%), -,ADPA
