,0,1,name
0,Price,3380.1,AIDL
1,Mkt Cap,84503.0,AIDL
2,Vol,1.3,AIDL
3,P/E,117.0,AIDL
4,P/CF,207.9,AIDL
5,EPS (TTM),28.9,AIDL
6,% ch,0.7,AIDL
7,No. of shares,25.00,AIDL
8,% ch week,1.3,AIDL
9,% ch 1-mth,-0.3,AIDL
10,% ch 12-mth,91.3,AIDL
11,52 week H/L,"3,700.0/1,714.0",AIDL
12,52weekHigh,"3,700.0",AIDL
13,52weekLow,"1,714.0",AIDL
14,Indian Promoters,0.0%,AIDL
15,Foreign collaborators,75.0%,AIDL
16,Indian inst/Mut Fund,0.3%,AIDL
17,FIIs,15.7%,AIDL
18,ADR/GDR,0.0%,AIDL
19,Free float,9.1%,AIDL
20,Shareholders,12856,AIDL
21,Pledged promoter(s) holding,0.0%,AIDL
22,REGD OFF,"'Avishkar', Off Bellary Road, Hebbal, Bangalore - 560 024",AIDL
23,E-MAIL,comp.secy@astrazeneca.com,AIDL
24,TELEPHONE,(080) 6774 8000,AIDL
25,SECTOR,PHARMACEUTICALS,AIDL
26,TR AGENT,"Integrated Enterp., Ramana Residency, 4th Cross, Malleswaram, Bangalore-03",AIDL
27,AUDITOR,BSR & Co.,AIDL
28,CHM, D. E. Udwadia,AIDL
29,COMP SEC, Anantha Murthy,AIDL
30,YEAR OF INC, 1900,AIDL
31,BSE CODE, 506820,AIDL
32,FV (Rs), 2,AIDL
33,DIV YIELD (%), -,AIDL
