,0,1,name
0,Price,1619.5,AJPH
1,Mkt Cap,142431.0,AJPH
2,Vol,0.2,AJPH
3,P/E,28.4,AJPH
4,P/CF,31.0,AJPH
5,EPS (TTM),56.9,AJPH
6,% ch,0.6,AJPH
7,No. of shares,87.95,AJPH
8,% ch week,-2.1,AJPH
9,% ch 1-mth,6.8,AJPH
10,% ch 12-mth,70.3,AJPH
11,52 week H/L,"1,759.4/906.5",AJPH
12,52weekHigh,"1,759.4",AJPH
13,52weekLow,906.5,AJPH
14,Indian Promoters,73.8%,AJPH
15,Foreign collaborators,0.0%,AJPH
16,Indian inst/Mut Fund,1.6%,AJPH
17,FIIs,7.6%,AJPH
18,ADR/GDR,0.0%,AJPH
19,Free float,17.0%,AJPH
20,Shareholders,20968,AJPH
21,Pledged promoter(s) holding,4.4%,AJPH
22,REGD OFF,"Ajanta House, Charkop, Kandivli (W), Mumbai - 400 067",AJPH
23,E-MAIL,deodatta.pandit@ajantapharma.com,AJPH
24,TELEPHONE,(022) 66061000,AJPH
25,SECTOR,PHARMACEUTICALS,AJPH
26,TR AGENT,"Link Intime India, C13, Pannalal Silk Mills Compd., LBS Marg, Mumbai-78",AJPH
27,AUDITOR,Kapoor & Parekh Assoc.,AJPH
28,CHM, Mannalal B. Agrawal,AJPH
29,COMP SEC, Gaurang Shah,AJPH
30,YEAR OF INC, 1979,AJPH
31,BSE CODE, 532331,AJPH
32,FV (Rs), 5,AJPH
33,DIV YIELD (%), 0.6,AJPH
