,0,1,name
0,Price,37.4,ANRI
1,Mkt Cap,11023.0,ANRI
2,Vol,23.8,ANRI
3,P/E,19.9,ANRI
4,P/CF,14.0,ANRI
5,EPS (TTM),1.9,ANRI
6,% ch,8.1,ANRI
7,No. of shares,295.14,ANRI
8,% ch week,39.9,ANRI
9,% ch 1-mth,70.2,ANRI
10,% ch 12-mth,50.9,ANRI
11,52 week H/L,40.8/13.4,ANRI
12,52weekHigh,40.8,ANRI
13,52weekLow,13.4,ANRI
14,Indian Promoters,63.4%,ANRI
15,Foreign collaborators,0.0%,ANRI
16,Indian inst/Mut Fund,2.1%,ANRI
17,FIIs,14.7%,ANRI
18,ADR/GDR,0.2%,ANRI
19,Free float,19.6%,ANRI
20,Shareholders,38972,ANRI
21,Pledged promoter(s) holding,0.0%,ANRI
22,REGD OFF,"Plot No. CP-1, Sector - 8, IMT Manesar, Haryana - 122 051",ANRI
23,E-MAIL,manojpahwa@anantrajlimited.com,ANRI
24,TELEPHONE,(011) 4154 0070,ANRI
25,SECTOR,CONSTRUCTION,ANRI
26,TR AGENT,"Alankit Assignments, Alankit House, 2E/21, Jhandewalan Extn., Delhi-55",ANRI
27,AUDITOR,B. Bhushan & Co.,ANRI
28,CHM, Ashok Sarin,ANRI
29,COMP SEC, Manoj Pahwa,ANRI
30,YEAR OF INC, 1985,ANRI
31,BSE CODE, 515055,ANRI
32,FV (Rs), 2,ANRI
33,DIV YIELD (%), 0.6,ANRI
