,0,1,name
0,Price,1690.0,APLH
1,Mkt Cap,235123.0,APLH
2,Vol,29.4,APLH
3,P/E,50.0,APLH
4,P/CF,39.5,APLH
5,EPS (TTM),33.8,APLH
6,% ch,0.7,APLH
7,No. of shares,139.13,APLH
8,% ch week,-0.9,APLH
9,% ch 1-mth,11.8,APLH
10,% ch 12-mth,15.7,APLH
11,52 week H/L,"1,814.0/1,047.5",APLH
12,52weekHigh,"1,814.0",APLH
13,52weekLow,"1,047.5",APLH
14,Indian Promoters,34.4%,APLH
15,Foreign collaborators,0.0%,APLH
16,Indian inst/Mut Fund,4.0%,APLH
17,FIIs,41.6%,APLH
18,ADR/GDR,0.8%,APLH
19,Free float,19.3%,APLH
20,Shareholders,33376,APLH
21,Pledged promoter(s) holding,64.8%,APLH
22,REGD OFF,"19, Bishop Garden, Raja Annamalaipuram, Chennai - 600 028",APLH
23,E-MAIL,krishnan_sm@apollohospitals.com,APLH
24,TELEPHONE,(044) 2829 3896,APLH
25,SECTOR,HEALTH SERVICES,APLH
26,TR AGENT,"Integrated Enterprises, Kences Tower, II Floor, T. Nagar, Chennai-17",APLH
27,AUDITOR,S. Viswanathan,APLH
28,CHM, Prathap C. Reddy,APLH
29,COMP SEC, S. M. Krishnan,APLH
30,YEAR OF INC, 1979,APLH
31,BSE CODE, 508869,APLH
32,FV (Rs), 5,APLH
33,DIV YIELD (%), 0.4,APLH
