,0,1,name
0,Price,1013.0,APLL
1,Mkt Cap,190961.0,APLL
2,Vol,0.4,APLL
3,P/E,23.7,APLL
4,P/CF,27.0,APLL
5,EPS (TTM),42.7,APLL
6,% ch,0.5,APLL
7,No. of shares,188.52,APLL
8,% ch week,1.2,APLL
9,% ch 1-mth,3.3,APLL
10,% ch 12-mth,102.3,APLL
11,52 week H/L,"1,128.0/436.1",APLL
12,52weekHigh,"1,128.0",APLL
13,52weekLow,436.1,APLL
14,Indian Promoters,74.1%,APLL
15,Foreign collaborators,0.0%,APLL
16,Indian inst/Mut Fund,2.9%,APLL
17,FIIs,9.1%,APLL
18,ADR/GDR,0.0%,APLL
19,Free float,13.9%,APLL
20,Shareholders,49328,APLL
21,Pledged promoter(s) holding,0.0%,APLL
22,REGD OFF,"Alembic Road, ,Vadodara,Gujarat - 390 003",APLL
23,E-MAIL,apl.investors@alembic.co.in,APLL
24,TELEPHONE,(0265) 2282 550,APLL
25,SECTOR,PHARMACEUTICALS,APLL
26,TR AGENT,"Link Intime India, B-102-103, Shangrila Complex, Akota, Vadodara-20",APLL
27,AUDITOR,K. S. Aiyar & Co.,APLL
28,CHM, Chirayu R. Amin (MD),APLL
29,COMP SEC, Rajkumar Baheti,APLL
30,YEAR OF INC, 2010,APLL
31,BSE CODE, 533573,APLL
32,FV (Rs), 2,APLL
33,DIV YIELD (%), 0.5,APLL
