,0,1,name
0,Price,35.5,ASEG
1,Mkt Cap,124.0,ASEG
2,Vol,4.5,ASEG
3,P/E,12425.0,ASEG
4,P/CF,4.0,ASEG
5,EPS (TTM),0.0,ASEG
6,% ch,1.6,ASEG
7,No. of shares,3.50,ASEG
8,% ch week,8.7,ASEG
9,% ch 1-mth,10.9,ASEG
10,% ch 12-mth,-15.3,ASEG
11,52 week H/L,57.4/22.3,ASEG
12,52weekHigh,57.4,ASEG
13,52weekLow,22.3,ASEG
14,Indian Promoters,34.7%,ASEG
15,Foreign collaborators,0.0%,ASEG
16,Indian inst/Mut Fund,0.1%,ASEG
17,FIIs,0.1%,ASEG
18,ADR/GDR,0.0%,ASEG
19,Free float,65.1%,ASEG
20,Shareholders,5959,ASEG
21,Pledged promoter(s) holding,0.0%,ASEG
22,REGD OFF,"Village Patla, Taluka Bhesan, Dist Junagadh - 362 030",ASEG
23,E-MAIL,info@aecbearings.com,ASEG
24,TELEPHONE,(02873) 522 223,ASEG
25,SECTOR,CAPITAL GOODS,ASEG
26,TR AGENT,"Sharepro Serv., 13 AB, Samhita Warehousing, 2nd Flr, Andheri (E), Mumbai-72",ASEG
27,AUDITOR,Dhirubhai Dand & Co.,ASEG
28,CHM, N. C. Vadgama,ASEG
29,COMP SEC, Kaushik Shah,ASEG
30,YEAR OF INC, 1977,ASEG
31,BSE CODE, 522005,ASEG
32,FV (Rs), 10,ASEG
33,DIV YIELD (%), 1.4,ASEG
