,0,1,name
0,Price,178.3,ATAO
1,Mkt Cap,3912.0,ATAO
2,Vol,18.4,ATAO
3,P/E,7.5,ATAO
4,P/CF,6.7,ATAO
5,EPS (TTM),23.9,ATAO
6,% ch,-0.0,ATAO
7,No. of shares,21.94,ATAO
8,% ch week,5.3,ATAO
9,% ch 1-mth,8.7,ATAO
10,% ch 12-mth,-18.2,ATAO
11,52 week H/L,298.7/117.0,ATAO
12,52weekHigh,298.7,ATAO
13,52weekLow,117.0,ATAO
14,Indian Promoters,55.1%,ATAO
15,Foreign collaborators,0.0%,ATAO
16,Indian inst/Mut Fund,0.0%,ATAO
17,FIIs,1.4%,ATAO
18,ADR/GDR,0.0%,ATAO
19,Free float,43.5%,ATAO
20,Shareholders,3555,ATAO
21,Pledged promoter(s) holding,0.0%,ATAO
22,REGD OFF,"Plot -1 to 4, National Highway 8-B, Shapar � 360 024, Dist. Rajkot, Gujarat",ATAO
23,E-MAIL,investorrelations@atulauto.co.in,ATAO
24,TELEPHONE,(02827) 252 996,ATAO
25,SECTOR,AUTOMOBILES/VEHICLES,ATAO
26,TR AGENT,"Sharex Dynamic, Unit 1, Luthra Indl., Safed Pool, Sakinaka, Andheri (E), Mumbai-72",ATAO
27,AUDITOR,Maharishi & Co.,ATAO
28,CHM, J. J. Chandra,ATAO
29,COMP SEC, MJP Associates,ATAO
30,YEAR OF INC, 1992,ATAO
31,BSE CODE, 531795,ATAO
32,FV (Rs), 5,ATAO
33,DIV YIELD (%), 2.2,ATAO
