,0,1,name
0,Price,3020.0,BAJAU
1,Mkt Cap,873897.0,BAJAU
2,Vol,1.4,BAJAU
3,P/E,19.9,BAJAU
4,P/CF,16.0,BAJAU
5,EPS (TTM),152.0,BAJAU
6,% ch,-0.5,BAJAU
7,No. of shares,289.37,BAJAU
8,% ch week,-3.0,BAJAU
9,% ch 1-mth,1.1,BAJAU
10,% ch 12-mth,10.3,BAJAU
11,52 week H/L,"3,315.0/1,793.1",BAJAU
12,52weekHigh,"3,315.0",BAJAU
13,52weekLow,"1,793.1",BAJAU
14,Indian Promoters,49.2%,BAJAU
15,Foreign collaborators,0.0%,BAJAU
16,Indian inst/Mut Fund,10.6%,BAJAU
17,FIIs,15.0%,BAJAU
18,ADR/GDR,0.0%,BAJAU
19,Free float,25.1%,BAJAU
20,Shareholders,78518,BAJAU
21,Pledged promoter(s) holding,0.1%,BAJAU
22,REGD OFF,"Bajaj Auto Ltd. Complex, Mumbai-Pune Road, Akurdi, Pune - 411 035",BAJAU
23,E-MAIL,investors@bajajauto.co.in,BAJAU
24,TELEPHONE,(020) 2747 2851,BAJAU
25,SECTOR,AUTOMOBILES/VEHICLES,BAJAU
26,TR AGENT,"Karvy Computershare, Plot 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",BAJAU
27,AUDITOR,Dalal & Shah,BAJAU
28,CHM, Rahul Bajaj,BAJAU
29,COMP SEC, J. Sridhar,BAJAU
30,YEAR OF INC, 1945,BAJAU
31,BSE CODE, 532977,BAJAU
32,FV (Rs), 10,BAJAU
33,DIV YIELD (%), 4.0,BAJAU
