,0,1,name
0,Price,122.5,BALW
1,Mkt Cap,20948.0,BALW
2,Vol,7.2,BALW
3,P/E,11.8,BALW
4,P/CF,10.9,BALW
5,EPS (TTM),10.4,BALW
6,% ch,1.2,BALW
7,No. of shares,171.00,BALW
8,% ch week,7.5,BALW
9,% ch 1-mth,6.2,BALW
10,% ch 12-mth,7.4,BALW
11,52 week H/L,141.3/69.9,BALW
12,52weekHigh,141.3,BALW
13,52weekLow,69.9,BALW
14,Indian Promoters,0.0%,BALW
15,Foreign collaborators,0.0%,BALW
16,Indian inst/Mut Fund,11.2%,BALW
17,FIIs,3.2%,BALW
18,ADR/GDR,0.0%,BALW
19,Free float,85.6%,BALW
20,Shareholders,24504,BALW
21,Pledged promoter(s) holding,0.0%,BALW
22,REGD OFF,"21, Netaji Subhash Road, Kolkata - 700 001",BALW
23,E-MAIL,blsharegrievance@balmerlawrie.com,BALW
24,TELEPHONE,(033) 2222 5329,BALW
25,SECTOR,DIVERSIFIED,BALW
26,TR AGENT,"Link Intime India, 59C, Chowringhee Road, 3rd Floor, Kolkata-20",BALW
27,AUDITOR,Vidya & Co.,BALW
28,CHM, Virendra Sinha (MD),BALW
29,COMP SEC, Amit Ghosh,BALW
30,YEAR OF INC, 1924,BALW
31,BSE CODE, 523319,BALW
32,FV (Rs), 10,BALW
33,DIV YIELD (%), 5.4,BALW
