,0,1,name
0,Price,2.3,BART
1,Mkt Cap,79.0,BART
2,Vol,13.9,BART
3,P/E,-0.2,BART
4,P/CF,-0.2,BART
5,EPS (TTM),-12.0,BART
6,% ch,-3.7,BART
7,No. of shares,34.05,BART
8,% ch week,0.9,BART
9,% ch 1-mth,-3.3,BART
10,% ch 12-mth,-2.1,BART
11,52 week H/L,3.8/0.6,BART
12,52weekHigh,3.8,BART
13,52weekLow,0.6,BART
14,Indian Promoters,12.5%,BART
15,Foreign collaborators,0.0%,BART
16,Indian inst/Mut Fund,3.1%,BART
17,FIIs,0.0%,BART
18,ADR/GDR,0.0%,BART
19,Free float,84.4%,BART
20,Shareholders,50611,BART
21,Pledged promoter(s) holding,16.2%,BART
22,REGD OFF,"Survey No. 351, Raj Bollaram Village, Medchal Mandal, Andhra Pradesh-01",BART
23,E-MAIL,www.bartronics.com,BART
24,TELEPHONE,(040) 2360 6316,BART
25,SECTOR,SOFTWARE,BART
26,TR AGENT,"Bigshare Services, E-2/3, Ansa Ind. Estate., Sakinaka, Andheri (E), Mumbai-72",BART
27,AUDITOR,T. Raghavendra & Assoc.,BART
28,CHM, Sudhir Rao (MD),BART
29,COMP SEC, Y. R. P. Reddy,BART
30,YEAR OF INC, 1990,BART
31,BSE CODE, 532694,BART
32,FV (Rs), 10,BART
33,DIV YIELD (%), -,BART
