,0,1,name
0,Price,607.9,BCORP
1,Mkt Cap,46811.0,BCORP
2,Vol,39.6,BCORP
3,P/E,9.3,BCORP
4,P/CF,7.9,BCORP
5,EPS (TTM),65.6,BCORP
6,% ch,2.2,BCORP
7,No. of shares,77.01,BCORP
8,% ch week,3.1,BCORP
9,% ch 1-mth,8.5,BCORP
10,% ch 12-mth,10.9,BCORP
11,52 week H/L,807.6/372.5,BCORP
12,52weekHigh,807.6,BCORP
13,52weekLow,372.5,BCORP
14,Indian Promoters,62.9%,BCORP
15,Foreign collaborators,0.0%,BCORP
16,Indian inst/Mut Fund,17.0%,BCORP
17,FIIs,1.4%,BCORP
18,ADR/GDR,0.0%,BCORP
19,Free float,18.7%,BCORP
20,Shareholders,22370,BCORP
21,Pledged promoter(s) holding,0.0%,BCORP
22,REGD OFF,"Birla Building, 9/1, R. N. Mukherjee Road, Kolkata - 700 001",BCORP
23,E-MAIL,investorsgrievance@birlacorp.com,BCORP
24,TELEPHONE,(033) 6616 6726,BCORP
25,SECTOR,CEMENT,BCORP
26,TR AGENT,"MCS Limited, 77/2A, Hazra Road, Kolkata - 700 029",BCORP
27,AUDITOR,H. P. Khandelwal & Co.,BCORP
28,CHM, Harsh V. Lodha,BCORP
29,COMP SEC, Girish Sharma,BCORP
30,YEAR OF INC, 1919,BCORP
31,BSE CODE, 500335,BCORP
32,FV (Rs), 10,BCORP
33,DIV YIELD (%), 1.2,BCORP
