,0,1,name
0,Price,65.9,BERC
1,Mkt Cap,1977.0,BERC
2,Vol,13.0,BERC
3,P/E,194.4,BERC
4,P/CF,8.2,BERC
5,EPS (TTM),0.3,BERC
6,% ch,-0.1,BERC
7,No. of shares,30.00,BERC
8,% ch week,12.9,BERC
9,% ch 1-mth,29.1,BERC
10,% ch 12-mth,41.1,BERC
11,52 week H/L,89.7/24.6,BERC
12,52weekHigh,89.7,BERC
13,52weekLow,24.6,BERC
14,Indian Promoters,38.9%,BERC
15,Foreign collaborators,27.5%,BERC
16,Indian inst/Mut Fund,0.0%,BERC
17,FIIs,0.0%,BERC
18,ADR/GDR,0.0%,BERC
19,Free float,33.7%,BERC
20,Shareholders,28696,BERC
21,Pledged promoter(s) holding,6.3%,BERC
22,REGD OFF,"Udyog Vihar, P. O. Chorhata, Rewa - 486 006",BERC
23,E-MAIL,investorservices@birlacables.com,BERC
24,TELEPHONE,(07662) 400 580,BERC
25,SECTOR,TELECOM CABLES,BERC
26,TR AGENT,"Link Intime India, C-13, Pannalal Silk Mills Compound, LBS Marg, Mumbai-78",BERC
27,AUDITOR,V. Sankar Aiyar & Co.,BERC
28,CHM, Harsh V. Lodha,BERC
29,COMP SEC, Somesh Laddha,BERC
30,YEAR OF INC, 1992,BERC
31,BSE CODE, 500060,BERC
32,FV (Rs), 10,BERC
33,DIV YIELD (%), 1.5,BERC
