,0,1,name
0,Price,1198.1,BFL
1,Mkt Cap,251758.0,BFL
2,Vol,8.4,BFL
3,P/E,21.2,BFL
4,P/CF,21.9,BFL
5,EPS (TTM),56.4,BFL
6,% ch,-0.1,BFL
7,No. of shares,210.14,BFL
8,% ch week,-1.2,BFL
9,% ch 1-mth,7.1,BFL
10,% ch 12-mth,21.4,BFL
11,52 week H/L,"1,231.7/612.1",BFL
12,52weekHigh,"1,231.7",BFL
13,52weekLow,612.1,BFL
14,Indian Promoters,0.0%,BFL
15,Foreign collaborators,60.5%,BFL
16,Indian inst/Mut Fund,4.7%,BFL
17,FIIs,26.2%,BFL
18,ADR/GDR,0.0%,BFL
19,Free float,8.6%,BFL
20,Shareholders,29984,BFL
21,Pledged promoter(s) holding,0.0%,BFL
22,REGD OFF,"Bagmane Technology Park, Byrasandra, C. V. Raman Nagar, Bangalore - 560 093",BFL
23,E-MAIL,sivaram.nair@mphasis.com,BFL
24,TELEPHONE,(080) 4004 1045,BFL
25,SECTOR,SOFTWARE,BFL
26,TR AGENT,"Integrated Enterp., 30, Ramana Residency, 4th Cross, Malleswaram, Bangalore-03",BFL
27,AUDITOR,S. R. Batliboi & Co.,BFL
28,CHM, Friedrich Froeschl,BFL
29,COMP SEC, A. Sivaram Nair,BFL
30,YEAR OF INC, 1992,BFL
31,BSE CODE, 526299,BFL
32,FV (Rs), 10,BFL
33,DIV YIELD (%), 2.0,BFL
