,0,1,name
0,Price,272.9,BFUL
1,Mkt Cap,10280.0,BFUL
2,Vol,2.5,BFUL
3,P/E,51.6,BFUL
4,P/CF,10.5,BFUL
5,EPS (TTM),5.3,BFUL
6,% ch,-0.2,BFUL
7,No. of shares,37.67,BFUL
8,% ch week,13.0,BFUL
9,% ch 1-mth,15.7,BFUL
10,% ch 12-mth,76.3,BFUL
11,52 week H/L,361.0/134.4,BFUL
12,52weekHigh,361.0,BFUL
13,52weekLow,134.4,BFUL
14,Indian Promoters,65.6%,BFUL
15,Foreign collaborators,0.0%,BFUL
16,Indian inst/Mut Fund,0.6%,BFUL
17,FIIs,1.0%,BFUL
18,ADR/GDR,0.0%,BFUL
19,Free float,32.8%,BFUL
20,Shareholders,37985,BFUL
21,Pledged promoter(s) holding,7.5%,BFUL
22,REGD OFF,"Mundhwa, Pune Cantonment, Pune - 411 036",BFUL
23,E-MAIL,bfutilitiesltd@vsnl.net,BFUL
24,TELEPHONE,(020) 6629 2550,BFUL
25,SECTOR,POWER,BFUL
26,TR AGENT,"Link Intime India, 202, Akshay Complex, Off Dhole Patil Road, Pune-01",BFUL
27,AUDITOR,Joshi Apte & Co.,BFUL
28,CHM, B. N. Kalyani,BFUL
29,COMP SEC, B. S. Mitkari (VP-Fin. & CS),BFUL
30,YEAR OF INC, 2001,BFUL
31,BSE CODE, 532430,BFUL
32,FV (Rs), 5,BFUL
33,DIV YIELD (%), -,BFUL
