,0,1,name
0,Price,860.5,BHBJ
1,Mkt Cap,4862.0,BHBJ
2,Vol,3.4,BHBJ
3,P/E,12.1,BHBJ
4,P/CF,9.7,BHBJ
5,EPS (TTM),71.0,BHBJ
6,% ch,-1.0,BHBJ
7,No. of shares,5.65,BHBJ
8,% ch week,-2.6,BHBJ
9,% ch 1-mth,12.1,BHBJ
10,% ch 12-mth,-2.9,BHBJ
11,52 week H/L,992.7/370.1,BHBJ
12,52weekHigh,992.7,BHBJ
13,52weekLow,370.1,BHBJ
14,Indian Promoters,35.8%,BHBJ
15,Foreign collaborators,0.0%,BHBJ
16,Indian inst/Mut Fund,19.3%,BHBJ
17,FIIs,0.3%,BHBJ
18,ADR/GDR,0.0%,BHBJ
19,Free float,44.7%,BHBJ
20,Shareholders,19756,BHBJ
21,Pledged promoter(s) holding,0.0%,BHBJ
22,REGD OFF,"Electric Mansion, 6th Floor, Appasaheb Marathe Marg, Mumbai - 400 025",BHBJ
23,E-MAIL,investorcare@bharatbijlee.com,BHBJ
24,TELEPHONE,(022) 2430 6237,BHBJ
25,SECTOR,CAPITAL GOODS,BHBJ
26,TR AGENT,"Link Intime India, C-13, Pannalal Silk Mills Cmpound, LBS Marg, Mumbai-78",BHBJ
27,AUDITOR,Dalal & Shah,BHBJ
28,CHM, Bansi S. Mehta,BHBJ
29,COMP SEC, D. N. Nagarkar (GM Legal),BHBJ
30,YEAR OF INC, 1946,BHBJ
31,BSE CODE, 503960,BHBJ
32,FV (Rs), 10,BHBJ
33,DIV YIELD (%), 1.5,BHBJ
