,0,1,name
0,Price,393.6,BICN
1,Mkt Cap,236160.0,BICN
2,Vol,7.1,BICN
3,P/E,30.0,BICN
4,P/CF,16.3,BICN
5,EPS (TTM),13.1,BICN
6,% ch,0.4,BICN
7,No. of shares,600.00,BICN
8,% ch week,0.6,BICN
9,% ch 1-mth,-5.2,BICN
10,% ch 12-mth,77.3,BICN
11,52 week H/L,455.0/212.4,BICN
12,52weekHigh,455.0,BICN
13,52weekLow,212.4,BICN
14,Indian Promoters,40.4%,BICN
15,Foreign collaborators,20.6%,BICN
16,Indian inst/Mut Fund,8.4%,BICN
17,FIIs,10.7%,BICN
18,ADR/GDR,0.0%,BICN
19,Free float,19.9%,BICN
20,Shareholders,109995,BICN
21,Pledged promoter(s) holding,0.0%,BICN
22,REGD OFF,"20th KM, Hosur Road, Electronic City, Bangalore - 560 100",BICN
23,E-MAIL,kiran.kumar@biocon.com,BICN
24,TELEPHONE,(080) 2808 2037,BICN
25,SECTOR,PHARMACEUTICALS,BICN
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",BICN
27,AUDITOR,S. R. Batliboi & Assoc.,BICN
28,CHM, Kiran Mazumdar Shaw (MD),BICN
29,COMP SEC, Kiran Kumar,BICN
30,YEAR OF INC, 1978,BICN
31,BSE CODE, 532523,BICN
32,FV (Rs), 5,BICN
33,DIV YIELD (%), 0.3,BICN
