,0,1,name
0,Price,73.2,BODAL
1,Mkt Cap,8944.0,BODAL
2,Vol,47.8,BODAL
3,P/E,10.0,BODAL
4,P/CF,5.5,BODAL
5,EPS (TTM),7.3,BODAL
6,% ch,-1.6,BODAL
7,No. of shares,122.19,BODAL
8,% ch week,0.6,BODAL
9,% ch 1-mth,-2.5,BODAL
10,% ch 12-mth,6.1,BODAL
11,52 week H/L,88.5/34.5,BODAL
12,52weekHigh,88.5,BODAL
13,52weekLow,34.5,BODAL
14,Indian Promoters,0.0%,BODAL
15,Foreign collaborators,0.0%,BODAL
16,Indian inst/Mut Fund,0.0%,BODAL
17,FIIs,0.0%,BODAL
18,ADR/GDR,0.0%,BODAL
19,Free float,0.0%,BODAL
20,Shareholders,,BODAL
21,Pledged promoter(s) holding,0.0%,BODAL
22,REGD OFF,"Plot No. 123-124, Phase - I, G.I.D.C., Vatva, Ahmedabad",BODAL
23,E-MAIL,,BODAL
24,TELEPHONE,,BODAL
25,SECTOR,ALUMINIUM,BODAL
26,TR AGENT,,BODAL
27,YEAR OF INC,,BODAL
28,BSE CODE, 524370,BODAL
29,FV (Rs),,BODAL
30,DIV YIELD (%), 1.1,BODAL
