,0,1,name
0,Price,592.3,BSTAR
1,Mkt Cap,53271.0,BSTAR
2,Vol,3.2,BSTAR
3,P/E,118.5,BSTAR
4,P/CF,18.8,BSTAR
5,EPS (TTM),5.0,BSTAR
6,% ch,2.7,BSTAR
7,No. of shares,89.94,BSTAR
8,% ch week,7.6,BSTAR
9,% ch 1-mth,20.3,BSTAR
10,% ch 12-mth,-18.4,BSTAR
11,52 week H/L,887.0/425.0,BSTAR
12,52weekHigh,887.0,BSTAR
13,52weekLow,425.0,BSTAR
14,Indian Promoters,39.1%,BSTAR
15,Foreign collaborators,0.6%,BSTAR
16,Indian inst/Mut Fund,19.1%,BSTAR
17,FIIs,6.8%,BSTAR
18,ADR/GDR,0.0%,BSTAR
19,Free float,34.5%,BSTAR
20,Shareholders,22490,BSTAR
21,Pledged promoter(s) holding,1.7%,BSTAR
22,REGD OFF,"Kasturi Building, Jamshedji Tata Road, M. T. Advani Chowk, Mumbai - 400 020",BSTAR
23,E-MAIL,sangameshwar@bluestarindia.com,BSTAR
24,TELEPHONE,(022) 6665 4040,BSTAR
25,SECTOR,CAPITAL GOODS,BSTAR
26,TR AGENT,"Link Intime India, C-13, Pannalal Silk Mills Cmpound, LBS Marg, Mumbai-78",BSTAR
27,AUDITOR,S. R. Batliboi & Assoc.,BSTAR
28,CHM, Ashok M. Advani,BSTAR
29,COMP SEC, Sangameshwar Iyer,BSTAR
30,YEAR OF INC, 1949,BSTAR
31,BSE CODE, 500067,BSTAR
32,FV (Rs), 2,BSTAR
33,DIV YIELD (%), 1.8,BSTAR
