,0,1,name
0,Price,9.7,BTBL
1,Mkt Cap,277.0,BTBL
2,Vol,22.3,BTBL
3,P/E,-3.7,BTBL
4,P/CF,1.6,BTBL
5,EPS (TTM),-2.6,BTBL
6,% ch,4.0,BTBL
7,No. of shares,28.68,BTBL
8,% ch week,10.4,BTBL
9,% ch 1-mth,17.5,BTBL
10,% ch 12-mth,-3.4,BTBL
11,52 week H/L,12.5/4.6,BTBL
12,52weekHigh,12.5,BTBL
13,52weekLow,4.6,BTBL
14,Indian Promoters,81.7%,BTBL
15,Foreign collaborators,0.0%,BTBL
16,Indian inst/Mut Fund,0.0%,BTBL
17,FIIs,0.0%,BTBL
18,ADR/GDR,0.0%,BTBL
19,Free float,18.3%,BTBL
20,Shareholders,10818,BTBL
21,Pledged promoter(s) holding,0.0%,BTBL
22,REGD OFF,"Bharat House, 5th Floor, 104, Bombay Samachar Marg, Fort, Mumbai - 400 001",BTBL
23,E-MAIL,legal@batliboi.com,BTBL
24,TELEPHONE,(022) 6637 8245,BTBL
25,SECTOR,CAPITAL GOODS,BTBL
26,TR AGENT,"Datamatics Financial, Plot A 16-17, Cross Lane, MIDC, Mumbai - 93",BTBL
27,AUDITOR,V. Sankar Aiyar & Co.,BTBL
28,CHM, Nirmal Bhogilal (MD),BTBL
29,COMP SEC, Gaurang Shah,BTBL
30,YEAR OF INC, 1941,BTBL
31,BSE CODE, 522004,BTBL
32,FV (Rs), 5,BTBL
33,DIV YIELD (%), -,BTBL
