,0,1,name
0,Price,17.0,BYNG
1,Mkt Cap,1267.0,BYNG
2,Vol,2.1,BYNG
3,P/E,21.9,BYNG
4,P/CF,7.7,BYNG
5,EPS (TTM),0.8,BYNG
6,% ch,-0.9,BYNG
7,No. of shares,74.50,BYNG
8,% ch week,0.0,BYNG
9,% ch 1-mth,-0.6,BYNG
10,% ch 12-mth,-15.0,BYNG
11,52 week H/L,29.0/10.8,BYNG
12,52weekHigh,29.0,BYNG
13,52weekLow,10.8,BYNG
14,Indian Promoters,73.9%,BYNG
15,Foreign collaborators,0.0%,BYNG
16,Indian inst/Mut Fund,2.6%,BYNG
17,FIIs,0.0%,BYNG
18,ADR/GDR,0.0%,BYNG
19,Free float,23.4%,BYNG
20,Shareholders,11631,BYNG
21,Pledged promoter(s) holding,0.0%,BYNG
22,REGD OFF,"Surya Towers, 5th Floor, S. P. Road, Secunderabad - 500 003",BYNG
23,E-MAIL,cs@surana.com,BYNG
24,TELEPHONE,(040) 2784 5119,BYNG
25,SECTOR,CAPITAL GOODS,BYNG
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",BYNG
27,AUDITOR,Sekhar & Co.,BYNG
28,CHM, G. Mangilal Surana,BYNG
29,COMP SEC, Biswa Ranjan Subudhi,BYNG
30,YEAR OF INC, 1985,BYNG
31,BSE CODE, 512296,BYNG
32,FV (Rs), 2,BYNG
33,DIV YIELD (%), -,BYNG
