,0,1,name
0,Price,626.0,CESC
1,Mkt Cap,82983.0,CESC
2,Vol,1.6,CESC
3,P/E,9.0,CESC
4,P/CF,5.2,CESC
5,EPS (TTM),69.3,CESC
6,% ch,0.8,CESC
7,No. of shares,132.56,CESC
8,% ch week,5.4,CESC
9,% ch 1-mth,8.6,CESC
10,% ch 12-mth,-18.6,CESC
11,52 week H/L,854.9/366.2,CESC
12,52weekHigh,854.9,CESC
13,52weekLow,366.2,CESC
14,Indian Promoters,52.5%,CESC
15,Foreign collaborators,0.0%,CESC
16,Indian inst/Mut Fund,16.2%,CESC
17,FIIs,22.9%,CESC
18,ADR/GDR,0.0%,CESC
19,Free float,8.4%,CESC
20,Shareholders,33867,CESC
21,Pledged promoter(s) holding,0.0%,CESC
22,REGD OFF,"CESC House, Chowringhee Square, Kolkata - 700 001",CESC
23,E-MAIL,secretarial@rp-sg.in,CESC
24,TELEPHONE,(033) 2225 6040,CESC
25,SECTOR,POWER,CESC
26,TR AGENT,"Link Intime India, 59C, 3rd Floor, Chowringhee Road, Kolkata-20",CESC
27,AUDITOR,Lovelock & Lewes,CESC
28,CHM, Sanjiv Goenka,CESC
29,COMP SEC, Subhasis Mitra (VP),CESC
30,YEAR OF INC, 1978,CESC
31,BSE CODE, 500084,CESC
32,FV (Rs), 10,CESC
33,DIV YIELD (%), 1.9,CESC
