,0,1,name
0,Price,231.5,CHIF
1,Mkt Cap,33241.0,CHIF
2,Vol,612.9,CHIF
3,P/E,2.7,CHIF
4,P/CF,2.7,CHIF
5,EPS (TTM),84.8,CHIF
6,% ch,1.8,CHIF
7,No. of shares,143.62,CHIF
8,% ch week,9.0,CHIF
9,% ch 1-mth,8.8,CHIF
10,% ch 12-mth,-15.4,CHIF
11,52 week H/L,348.9/117.4,CHIF
12,52weekHigh,348.9,CHIF
13,52weekLow,117.4,CHIF
14,Indian Promoters,57.7%,CHIF
15,Foreign collaborators,0.0%,CHIF
16,Indian inst/Mut Fund,2.3%,CHIF
17,FIIs,31.3%,CHIF
18,ADR/GDR,0.0%,CHIF
19,Free float,8.7%,CHIF
20,Shareholders,16861,CHIF
21,Pledged promoter(s) holding,0.0%,CHIF
22,REGD OFF,"Dare House, No. 2, N. S. C. Bose Road, Parrys, Chennai - 600 001",CHIF
23,E-MAIL,sujathap@chola.murugappa.com,CHIF
24,TELEPHONE,(044) 3000 7055,CHIF
25,SECTOR,MISCELLANEOUS,CHIF
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",CHIF
27,AUDITOR,Deloitte Haskins & Sells,CHIF
28,CHM, M. B. N. Rao,CHIF
29,COMP SEC, P. Sujatha,CHIF
30,YEAR OF INC, 1978,CHIF
31,BSE CODE, 511243,CHIF
32,FV (Rs), 10,CHIF
33,DIV YIELD (%), 3.1,CHIF
