,0,1,name
0,Price,467.4,CUMM
1,Mkt Cap,129549.0,CUMM
2,Vol,61.9,CUMM
3,P/E,20.6,CUMM
4,P/CF,17.0,CUMM
5,EPS (TTM),22.7,CUMM
6,% ch,0.4,CUMM
7,No. of shares,277.20,CUMM
8,% ch week,2.4,CUMM
9,% ch 1-mth,18.3,CUMM
10,% ch 12-mth,-18.0,CUMM
11,52 week H/L,652.8/281.6,CUMM
12,52weekHigh,652.8,CUMM
13,52weekLow,281.6,CUMM
14,Indian Promoters,0.0%,CUMM
15,Foreign collaborators,51.0%,CUMM
16,Indian inst/Mut Fund,18.1%,CUMM
17,FIIs,18.0%,CUMM
18,ADR/GDR,0.0%,CUMM
19,Free float,12.9%,CUMM
20,Shareholders,41179,CUMM
21,Pledged promoter(s) holding,0.0%,CUMM
22,REGD OFF,"Kothrud, Pune - 411 038",CUMM
23,E-MAIL,trivikram.guda@cummins.com,CUMM
24,TELEPHONE,(020) 2538 5435,CUMM
25,SECTOR,CAPITAL GOODS,CUMM
26,TR AGENT,"Link Intime India, C13, Pannalal Silk Mills Cmpound, LBS Marg, Mumbai-78",CUMM
27,AUDITOR,Price Waterhouse,CUMM
28,CHM, Anant J. Talaulicar (MD),CUMM
29,COMP SEC, Trivikram Guda (G.M. - Legal),CUMM
30,YEAR OF INC, 1962,CUMM
31,BSE CODE, 500480,CUMM
32,FV (Rs), 2,CUMM
33,DIV YIELD (%), 3.6,CUMM
