,0,1,name
0,Price,7.5,DBRL
1,Mkt Cap,1812.0,DBRL
2,Vol,20.1,DBRL
3,P/E,-0.5,DBRL
4,P/CF,-0.6,DBRL
5,EPS (TTM),-14.6,DBRL
6,% ch,0.4,DBRL
7,No. of shares,243.26,DBRL
8,% ch week,3.2,DBRL
9,% ch 1-mth,0.5,DBRL
10,% ch 12-mth,14.3,DBRL
11,52 week H/L,12.5/3.6,DBRL
12,52weekHigh,12.5,DBRL
13,52weekLow,3.6,DBRL
14,Indian Promoters,74.0%,DBRL
15,Foreign collaborators,0.0%,DBRL
16,Indian inst/Mut Fund,0.0%,DBRL
17,FIIs,0.0%,DBRL
18,ADR/GDR,0.0%,DBRL
19,Free float,26.0%,DBRL
20,Shareholders,5423,DBRL
21,Pledged promoter(s) holding,85.8%,DBRL
22,REGD OFF,"DB House, Gen. A.K. Vaidya Marg, Goregaon (East), Mumbai-400 063",DBRL
23,E-MAIL,investors@dbg.co.in,DBRL
24,TELEPHONE,(022) 4077 8600,DBRL
25,SECTOR,CONSTRUCTION,DBRL
26,TR AGENT,"Link Intime India, C13, Pannalal Silk Mills Compd., LBS Marg, Mumbai-78",DBRL
27,AUDITOR,Haribhakti & Co.,DBRL
28,CHM, Vinod Goenka (MD),DBRL
29,COMP SEC, S. A. K. Narayanan,DBRL
30,YEAR OF INC, 2007,DBRL
31,BSE CODE, 533160,DBRL
32,FV (Rs), 10,DBRL
33,DIV YIELD (%), -,DBRL
