,0,1,name
0,Price,756.1,DENT
1,Mkt Cap,103120.0,DENT
2,Vol,626.0,DENT
3,P/E,20.6,DENT
4,P/CF,41.0,DENT
5,EPS (TTM),36.7,DENT
6,% ch,16.3,DENT
7,No. of shares,136.39,DENT
8,% ch week,24.5,DENT
9,% ch 1-mth,27.4,DENT
10,% ch 12-mth,171.5,DENT
11,52 week H/L,779.9/267.6,DENT
12,52weekHigh,779.9,DENT
13,52weekLow,267.6,DENT
14,Indian Promoters,8.7%,DENT
15,Foreign collaborators,0.0%,DENT
16,Indian inst/Mut Fund,11.7%,DENT
17,FIIs,0.5%,DENT
18,ADR/GDR,0.0%,DENT
19,Free float,79.1%,DENT
20,Shareholders,11411,DENT
21,Pledged promoter(s) holding,0.0%,DENT
22,REGD OFF,"9/10, Kunj Society, Alkapuri, Baroda - 390 007",DENT
23,E-MAIL,kkasad@hotmail.com,DENT
24,TELEPHONE,(0265) 325 113,DENT
25,SECTOR,CHEMICALS & PESTICIDES,DENT
26,TR AGENT,Same as above,DENT
27,AUDITOR,B. K. Khare & Co.,DENT
28,CHM, C. K. Mehta,DENT
29,COMP SEC, H. N. Shah (Chief-Law),DENT
30,YEAR OF INC, 1970,DENT
31,BSE CODE, 506401,DENT
32,FV (Rs), 10,DENT
33,DIV YIELD (%), 0.3,DENT
