,0,1,name
0,Price,148.3,DLCN
1,Mkt Cap,12036.0,DLCN
2,Vol,93.9,DLCN
3,P/E,6.7,DLCN
4,P/CF,5.3,DLCN
5,EPS (TTM),22.0,DLCN
6,% ch,0.5,DLCN
7,No. of shares,81.19,DLCN
8,% ch week,9.9,DLCN
9,% ch 1-mth,27.1,DLCN
10,% ch 12-mth,103.9,DLCN
11,52 week H/L,156.0/40.3,DLCN
12,52weekHigh,156.0,DLCN
13,52weekLow,40.3,DLCN
14,Indian Promoters,74.9%,DLCN
15,Foreign collaborators,0.0%,DLCN
16,Indian inst/Mut Fund,5.3%,DLCN
17,FIIs,0.3%,DLCN
18,ADR/GDR,0.0%,DLCN
19,Free float,19.6%,DLCN
20,Shareholders,13668,DLCN
21,Pledged promoter(s) holding,0.0%,DLCN
22,REGD OFF,"Tiruchirapalli, Dalmiapuram - 621 651",DLCN
23,E-MAIL,v.sundararaj@dalmiacement.com,DLCN
24,TELEPHONE,(04329) 235 131,DLCN
25,SECTOR,SUGAR,DLCN
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",DLCN
27,AUDITOR,S. S. Kothari Mehta & Co.,DLCN
28,CHM, J. S. Baijal,DLCN
29,COMP SEC, K. V. Mohan,DLCN
30,YEAR OF INC, 1951,DLCN
31,BSE CODE, 500097,DLCN
32,FV (Rs), 2,DLCN
33,DIV YIELD (%), 1.1,DLCN
