,0,1,name
0,Price,160.8,DLFL
1,Mkt Cap,286534.0,DLFL
2,Vol,50.1,DLFL
3,P/E,-15.9,DLFL
4,P/CF,5.9,DLFL
5,EPS (TTM),-10.1,DLFL
6,% ch,2.0,DLFL
7,No. of shares,1781.93,DLFL
8,% ch week,9.3,DLFL
9,% ch 1-mth,15.8,DLFL
10,% ch 12-mth,0.7,DLFL
11,52 week H/L,266.7/114.5,DLFL
12,52weekHigh,266.7,DLFL
13,52weekLow,114.5,DLFL
14,Indian Promoters,74.9%,DLFL
15,Foreign collaborators,0.0%,DLFL
16,Indian inst/Mut Fund,0.5%,DLFL
17,FIIs,19.9%,DLFL
18,ADR/GDR,0.0%,DLFL
19,Free float,4.7%,DLFL
20,Shareholders,432951,DLFL
21,Pledged promoter(s) holding,0.0%,DLFL
22,REGD OFF,"Shopping Mall, 3rd Floor, Arjun Marg, Phase-I, DLF City, Gurgaon-122 002",DLFL
23,E-MAIL,setia-subhash@dlfgroup.in,DLFL
24,TELEPHONE,(0124) 433 4200,DLFL
25,SECTOR,CONSTRUCTION,DLFL
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",DLFL
27,AUDITOR,"Walker, Chandiok & Co.",DLFL
28,CHM, K. P. Singh,DLFL
29,COMP SEC, Subhash Setia,DLFL
30,YEAR OF INC, 1963,DLFL
31,BSE CODE, 532868,DLFL
32,FV (Rs), 2,DLFL
33,DIV YIELD (%), 1.3,DLFL
