,0,1,name
0,Price,3.6,EASUN
1,Mkt Cap,111.0,EASUN
2,Vol,0.4,EASUN
3,P/E,-0.6,EASUN
4,P/CF,9.1,EASUN
5,EPS (TTM),-5.6,EASUN
6,% ch,-2.7,EASUN
7,No. of shares,30.79,EASUN
8,% ch week,-2.7,EASUN
9,% ch 1-mth,26.3,EASUN
10,% ch 12-mth,-0.6,EASUN
11,52 week H/L,4.9/1.6,EASUN
12,52weekHigh,4.9,EASUN
13,52weekLow,1.6,EASUN
14,Indian Promoters,35.8%,EASUN
15,Foreign collaborators,0.2%,EASUN
16,Indian inst/Mut Fund,17.0%,EASUN
17,FIIs,6.1%,EASUN
18,ADR/GDR,0.0%,EASUN
19,Free float,40.8%,EASUN
20,Shareholders,14241,EASUN
21,Pledged promoter(s) holding,0.0%,EASUN
22,REGD OFF,"Temple Tower, 6th Floor, 672, Anna Salai, Nandanam, Chennai - 600 035",EASUN
23,E-MAIL,sec@easunreyrolle.com,EASUN
24,TELEPHONE,(044) 2434 6425,EASUN
25,SECTOR,CAPITAL GOODS,EASUN
26,TR AGENT,"Integrated Entr., 2nd Flr., Kences Tower, 1, North Usman Rd., Chennai-17",EASUN
27,AUDITOR,Brahmayya & Co.,EASUN
28,CHM, Hari Eswaran,EASUN
29,COMP SEC, Praveen Hegde,EASUN
30,YEAR OF INC, 1980,EASUN
31,BSE CODE, 532751,EASUN
32,FV (Rs), 2,EASUN
33,DIV YIELD (%), -,EASUN
