,0,1,name
0,Price,794.0,ECXS
1,Mkt Cap,32078.0,ECXS
2,Vol,6.2,ECXS
3,P/E,15.4,ECXS
4,P/CF,9.5,ECXS
5,EPS (TTM),51.7,ECXS
6,% ch,-0.2,ECXS
7,No. of shares,40.40,ECXS
8,% ch week,10.9,ECXS
9,% ch 1-mth,66.5,ECXS
10,% ch 12-mth,75.2,ECXS
11,52 week H/L,808.5/323.2,ECXS
12,52weekHigh,808.5,ECXS
13,52weekLow,323.2,ECXS
14,Indian Promoters,26.6%,ECXS
15,Foreign collaborators,26.5%,ECXS
16,Indian inst/Mut Fund,14.8%,ECXS
17,FIIs,21.4%,ECXS
18,ADR/GDR,0.0%,ECXS
19,Free float,10.7%,ECXS
20,Shareholders,15040,ECXS
21,Pledged promoter(s) holding,0.0%,ECXS
22,REGD OFF,"Sonawala Building, 1st Floor, 29 Bank Street, Fort Mumbai - 400 023",ECXS
23,E-MAIL,investor@eclerx.com,ECXS
24,TELEPHONE,(022) 6614 8301,ECXS
25,SECTOR,SOFTWARE,ECXS
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",ECXS
27,AUDITOR,"Walker, Chandiok & Co.",ECXS
28,CHM, V. K. Mundhra,ECXS
29,COMP SEC, Gaurav Tongia,ECXS
30,YEAR OF INC, 2000,ECXS
31,BSE CODE, 532927,ECXS
32,FV (Rs), 10,ECXS
33,DIV YIELD (%), 0.1,ECXS
