,0,1,name
0,Price,0.7,EDMR
1,Mkt Cap,81.0,EDMR
2,Vol,23.7,EDMR
3,P/E,-0.4,EDMR
4,P/CF,-0.1,EDMR
5,EPS (TTM),-1.6,EDMR
6,% ch,-4.2,EDMR
7,No. of shares,117.77,EDMR
8,% ch week,-4.2,EDMR
9,% ch 1-mth,-10.4,EDMR
10,% ch 12-mth,-25.8,EDMR
11,52 week H/L,1.2/0.4,EDMR
12,52weekHigh,1.2,EDMR
13,52weekLow,0.4,EDMR
14,Indian Promoters,6.4%,EDMR
15,Foreign collaborators,0.0%,EDMR
16,Indian inst/Mut Fund,14.8%,EDMR
17,FIIs,0.1%,EDMR
18,ADR/GDR,0.0%,EDMR
19,Free float,78.7%,EDMR
20,Shareholders,3781,EDMR
21,Pledged promoter(s) holding,13.3%,EDMR
22,REGD OFF,"2, Tavarekere, Bannerghatta Road, BTM Layout, 1st Stage, Bangalore-29",EDMR
23,E-MAIL,info@cranessoftware.com,EDMR
24,TELEPHONE,(080) 4128 1111,EDMR
25,SECTOR,SOFTWARE,EDMR
26,TR AGENT,"Integrated Enterp., Ramana Residency, 4th Cross, Malleswaram, Bangalore-03",EDMR
27,AUDITOR,S. Janardhan & Assoc.,EDMR
28,CHM, Asif Khader (MD),EDMR
29,COMP SEC, P. Phaneendra,EDMR
30,YEAR OF INC, 1987,EDMR
31,BSE CODE, 512093,EDMR
32,FV (Rs), 2,EDMR
33,DIV YIELD (%), -,EDMR
