,0,1,name
0,Price,4.2,EDUCO
1,Mkt Cap,514.0,EDUCO
2,Vol,186.6,EDUCO
3,P/E,-0.1,EDUCO
4,P/CF,-0.1,EDUCO
5,EPS (TTM),-31.6,EDUCO
6,% ch,-4.8,EDUCO
7,No. of shares,122.44,EDUCO
8,% ch week,15.7,EDUCO
9,% ch 1-mth,36.8,EDUCO
10,% ch 12-mth,230.7,EDUCO
11,52 week H/L,6.3/0.8,EDUCO
12,52weekHigh,6.3,EDUCO
13,52weekLow,0.8,EDUCO
14,Indian Promoters,44.8%,EDUCO
15,Foreign collaborators,0.0%,EDUCO
16,Indian inst/Mut Fund,0.3%,EDUCO
17,FIIs,17.5%,EDUCO
18,ADR/GDR,0.0%,EDUCO
19,Free float,37.4%,EDUCO
20,Shareholders,133770,EDUCO
21,Pledged promoter(s) holding,86.7%,EDUCO
22,REGD OFF,"1211, Padma Tower 1, 5, Rajendra Place, New Delhi - 110 008",EDUCO
23,E-MAIL,investor.services@educomp.com,EDUCO
24,TELEPHONE,(0124) 452 9000,EDUCO
25,SECTOR,SOFTWARE,EDUCO
26,TR AGENT,"Link Intime India, A-40, 2nd Flr., Naraina Indl. Area, Phase II, New Delhi-28",EDUCO
27,AUDITOR,Anupam Bansal & Co.,EDUCO
28,CHM, Shantanu Prakash (MD),EDUCO
29,COMP SEC, Anil Sharma,EDUCO
30,YEAR OF INC, 1994,EDUCO
31,BSE CODE, 532696,EDUCO
32,FV (Rs), 2,EDUCO
33,DIV YIELD (%), -,EDUCO
