,0,1,name
0,Price,32.1,ELEG
1,Mkt Cap,3497.0,ELEG
2,Vol,39.9,ELEG
3,P/E,4.0,ELEG
4,P/CF,3.1,ELEG
5,EPS (TTM),8.1,ELEG
6,% ch,3.2,ELEG
7,No. of shares,108.94,ELEG
8,% ch week,14.6,ELEG
9,% ch 1-mth,28.4,ELEG
10,% ch 12-mth,14.4,ELEG
11,52 week H/L,43.7/13.8,ELEG
12,52weekHigh,43.7,ELEG
13,52weekLow,13.8,ELEG
14,Indian Promoters,58.1%,ELEG
15,Foreign collaborators,0.0%,ELEG
16,Indian inst/Mut Fund,7.7%,ELEG
17,FIIs,0.3%,ELEG
18,ADR/GDR,0.0%,ELEG
19,Free float,33.9%,ELEG
20,Shareholders,52128,ELEG
21,Pledged promoter(s) holding,10.0%,ELEG
22,REGD OFF,"Anand Sojitra Road, Vallabh Vidyanagar - 388 120",ELEG
23,E-MAIL,pmshukla@mhe.elecon.com,ELEG
24,TELEPHONE,(02692) 227 109,ELEG
25,SECTOR,CAPITAL GOODS,ELEG
26,TR AGENT,"Link Intime, Shangrila Complex, Nr., Radhakrishna Char Rasta, Akota, Vadodara-20",ELEG
27,AUDITOR,Thacker Butala Desai,ELEG
28,CHM, Prayasvin B. Patel (MD),ELEG
29,COMP SEC, Paresh Shukla,ELEG
30,YEAR OF INC, 1960,ELEG
31,BSE CODE, 505700,ELEG
32,FV (Rs), 2,ELEG
33,DIV YIELD (%), 0.6,ELEG
