,0,1,name
0,Price,167.1,ENIL
1,Mkt Cap,7966.0,ENIL
2,Vol,0.6,ENIL
3,P/E,74.4,ENIL
4,P/CF,6.6,ENIL
5,EPS (TTM),2.2,ENIL
6,% ch,5.0,ENIL
7,No. of shares,47.67,ENIL
8,% ch week,7.9,ENIL
9,% ch 1-mth,29.5,ENIL
10,% ch 12-mth,-54.8,ENIL
11,52 week H/L,375.0/101.0,ENIL
12,52weekHigh,375.0,ENIL
13,52weekLow,101.0,ENIL
14,Indian Promoters,71.2%,ENIL
15,Foreign collaborators,0.0%,ENIL
16,Indian inst/Mut Fund,2.0%,ENIL
17,FIIs,16.4%,ENIL
18,ADR/GDR,0.0%,ENIL
19,Free float,10.5%,ENIL
20,Shareholders,13673,ENIL
21,Pledged promoter(s) holding,0.0%,ENIL
22,REGD OFF,"4th Flr., Matulya Centre, Senapati Bapat Marg, Lower Parel (W), Mumbai-13",ENIL
23,E-MAIL,mehul.shah@timesgroup.com,ENIL
24,TELEPHONE,(022) 6753 6983,ENIL
25,SECTOR,MEDIA,ENIL
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",ENIL
27,AUDITOR,Price Waterhouse & Co.,ENIL
28,CHM, Vineet Jain,ENIL
29,COMP SEC, Mehul Shah,ENIL
30,YEAR OF INC, 1999,ENIL
31,BSE CODE, 532700,ENIL
32,FV (Rs), 10,ENIL
33,DIV YIELD (%), 0.6,ENIL
