,0,1,name
0,Price,290.4,ESPK
1,Mkt Cap,91275.0,ESPK
2,Vol,16.6,ESPK
3,P/E,42.0,ESPK
4,P/CF,24.3,ESPK
5,EPS (TTM),6.9,ESPK
6,% ch,-1.1,ESPK
7,No. of shares,314.36,ESPK
8,% ch week,6.1,ESPK
9,% ch 1-mth,49.4,ESPK
10,% ch 12-mth,221.9,ESPK
11,52 week H/L,318.8/85.3,ESPK
12,52weekHigh,318.8,ESPK
13,52weekLow,85.3,ESPK
14,Indian Promoters,56.6%,ESPK
15,Foreign collaborators,0.0%,ESPK
16,Indian inst/Mut Fund,7.6%,ESPK
17,FIIs,6.1%,ESPK
18,ADR/GDR,0.0%,ESPK
19,Free float,29.7%,ESPK
20,Shareholders,35452,ESPK
21,Pledged promoter(s) holding,2.3%,ESPK
22,REGD OFF,"P.O. Vasind, Taluka Shahapur, District Thane, Maharashtra - 421 604",ESPK
23,E-MAIL,aashay.khandwala@ep.esselgroup.com,ESPK
24,TELEPHONE,(022) 2481 9000,ESPK
25,SECTOR,PACKAGING,ESPK
26,TR AGENT,"Sharepro Serv., 13 AB, Samhita Warehousing, 2nd Flr, Andheri (E), Mumbai-72",ESPK
27,AUDITOR,MGB & Co.,ESPK
28,CHM, Subhash Chandra,ESPK
29,COMP SEC, Ajay N. Thakkar,ESPK
30,YEAR OF INC, 1982,ESPK
31,BSE CODE, 500135,ESPK
32,FV (Rs), 2,ESPK
33,DIV YIELD (%), 0.4,ESPK
