,0,1,name
0,Price,123.1,FLMT
1,Mkt Cap,605.0,FLMT
2,Vol,6.7,FLMT
3,P/E,19.0,FLMT
4,P/CF,19.7,FLMT
5,EPS (TTM),6.5,FLMT
6,% ch,-2.7,FLMT
7,No. of shares,4.92,FLMT
8,% ch week,38.3,FLMT
9,% ch 1-mth,36.1,FLMT
10,% ch 12-mth,41.3,FLMT
11,52 week H/L,129.9/51.0,FLMT
12,52weekHigh,129.9,FLMT
13,52weekLow,51.0,FLMT
14,Indian Promoters,53.3%,FLMT
15,Foreign collaborators,0.0%,FLMT
16,Indian inst/Mut Fund,0.0%,FLMT
17,FIIs,0.8%,FLMT
18,ADR/GDR,0.0%,FLMT
19,Free float,45.9%,FLMT
20,Shareholders,6764,FLMT
21,Pledged promoter(s) holding,0.0%,FLMT
22,REGD OFF,"117,1st Floor 'Navneet Darshan', 16/2, Old Palasia, Indore-452 018 (M.P)",FLMT
23,E-MAIL,info@fluidomat.com,FLMT
24,TELEPHONE,0731 2564820,FLMT
25,SECTOR,ENGINEERING,FLMT
26,TR AGENT,"Ankit Consultancy Pvt. Ltd. Plot No. 60, Electronic Complex, Pardeshipura, Indore",FLMT
27,AUDITOR,J.P. Saraf & Co.,FLMT
28,CHM, Ashok Jain,FLMT
29,COMP SEC, Ritu Tiwari,FLMT
30,YEAR OF INC, 1971,FLMT
31,BSE CODE, 522017,FLMT
32,FV (Rs), 10,FLMT
33,DIV YIELD (%), 1.6,FLMT
