,0,1,name
0,Price,471.6,FNLX
1,Mkt Cap,58523.0,FNLX
2,Vol,0.1,FNLX
3,P/E,19.1,FNLX
4,P/CF,13.8,FNLX
5,EPS (TTM),24.7,FNLX
6,% ch,1.4,FNLX
7,No. of shares,124.10,FNLX
8,% ch week,4.7,FNLX
9,% ch 1-mth,2.8,FNLX
10,% ch 12-mth,-5.8,FNLX
11,52 week H/L,635.0/283.0,FNLX
12,52weekHigh,635.0,FNLX
13,52weekLow,283.0,FNLX
14,Indian Promoters,52.5%,FNLX
15,Foreign collaborators,0.0%,FNLX
16,Indian inst/Mut Fund,4.6%,FNLX
17,FIIs,4.8%,FNLX
18,ADR/GDR,0.0%,FNLX
19,Free float,38.2%,FNLX
20,Shareholders,130070,FNLX
21,Pledged promoter(s) holding,0.0%,FNLX
22,REGD OFF,"Gat No.399, Urse, Taluka Maval, District Pune - 410 506",FNLX
23,E-MAIL,investors@finolexind.com,FNLX
24,TELEPHONE,(020) 2740 8200,FNLX
25,SECTOR,MISCELLANEOUS,FNLX
26,TR AGENT,In-house,FNLX
27,CHM, Prakash P. Chhabria,FNLX
28,YEAR OF INC, 1981,FNLX
29,BSE CODE, 500940,FNLX
30,FV (Rs), 10,FNLX
31,DIV YIELD (%), 2.1,FNLX
