,0,1,name
0,Price,357.7,FXIN
1,Mkt Cap,25830.0,FXIN
2,Vol,17.5,FXIN
3,P/E,7.6,FXIN
4,P/CF,3.7,FXIN
5,EPS (TTM),47.1,FXIN
6,% ch,-2.4,FXIN
7,No. of shares,72.21,FXIN
8,% ch week,6.1,FXIN
9,% ch 1-mth,31.3,FXIN
10,% ch 12-mth,69.6,FXIN
11,52 week H/L,376.8/120.0,FXIN
12,52weekHigh,376.8,FXIN
13,52weekLow,120.0,FXIN
14,Indian Promoters,43.5%,FXIN
15,Foreign collaborators,0.0%,FXIN
16,Indian inst/Mut Fund,0.1%,FXIN
17,FIIs,6.0%,FXIN
18,ADR/GDR,7.6%,FXIN
19,Free float,42.8%,FXIN
20,Shareholders,52553,FXIN
21,Pledged promoter(s) holding,0.0%,FXIN
22,REGD OFF,"305, 3rd Floor, Bhanot Corner, Pamposh Enclave, Greater Kailash I, New Delhi-48",FXIN
23,E-MAIL,flexsec@vsnl.net,FXIN
24,TELEPHONE,(011) 2644 0917,FXIN
25,SECTOR,PACKAGING,FXIN
26,TR AGENT,"Beetal House, Madangir, Nr. Dada Harsukh Dass Mandir, New Delhi-62",FXIN
27,AUDITOR,Vijay Sehgal & Co.,FXIN
28,CHM, Ashok Chaturvedi (MD),FXIN
29,COMP SEC, Ajay Krishna (VP - Legal),FXIN
30,YEAR OF INC, 1988,FXIN
31,BSE CODE, 500148,FXIN
32,FV (Rs), 10,FXIN
33,DIV YIELD (%), 0.6,FXIN
