,0,1,name
0,Price,46.6,GACO
1,Mkt Cap,4072.0,GACO
2,Vol,117.5,GACO
3,P/E,-4.8,GACO
4,P/CF,7.7,GACO
5,EPS (TTM),-9.6,GACO
6,% ch,-3.1,GACO
7,No. of shares,87.48,GACO
8,% ch week,3.1,GACO
9,% ch 1-mth,2.0,GACO
10,% ch 12-mth,20.8,GACO
11,52 week H/L,75.0/32.4,GACO
12,52weekHigh,75.0,GACO
13,52weekLow,32.4,GACO
14,Indian Promoters,38.1%,GACO
15,Foreign collaborators,0.0%,GACO
16,Indian inst/Mut Fund,0.2%,GACO
17,FIIs,8.1%,GACO
18,ADR/GDR,0.0%,GACO
19,Free float,53.6%,GACO
20,Shareholders,41407,GACO
21,Pledged promoter(s) holding,49.5%,GACO
22,REGD OFF,"1-7- 293, M. G. Road, Secunderabad - 500 003",GACO
23,E-MAIL,investor.services@gati.com,GACO
24,TELEPHONE,(040) 2784 4284,GACO
25,SECTOR,LOGISTICS,GACO
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",GACO
27,AUDITOR,R. S. Agarwala & Co.,GACO
28,CHM, K. L. Chugh,GACO
29,COMP SEC, VSN Raju,GACO
30,YEAR OF INC, 1989,GACO
31,BSE CODE, 532345,GACO
32,FV (Rs), 2,GACO
33,DIV YIELD (%), 2.1,GACO
