,0,1,name
0,Price,92.8,GATE
1,Mkt Cap,10728.0,GATE
2,Vol,29.8,GATE
3,P/E,9.8,GATE
4,P/CF,3.2,GATE
5,EPS (TTM),9.5,GATE
6,% ch,-1.1,GATE
7,No. of shares,115.60,GATE
8,% ch week,10.9,GATE
9,% ch 1-mth,9.0,GATE
10,% ch 12-mth,-3.8,GATE
11,52 week H/L,137.6/71.0,GATE
12,52weekHigh,137.6,GATE
13,52weekLow,71.0,GATE
14,Indian Promoters,25.2%,GATE
15,Foreign collaborators,7.7%,GATE
16,Indian inst/Mut Fund,25.7%,GATE
17,FIIs,29.5%,GATE
18,ADR/GDR,0.0%,GATE
19,Free float,12.0%,GATE
20,Shareholders,32234,GATE
21,Pledged promoter(s) holding,28.8%,GATE
22,REGD OFF,"Sector 6, Dronagiri, Taluka Uran, Raigad, Navi Mumbai - 400 707",GATE
23,E-MAIL,investor@gateway-distriparks.com,GATE
24,TELEPHONE,(022) 2724 6500,GATE
25,SECTOR,LOGISTICS,GATE
26,TR AGENT,"Link Intime India, C13, Pannalal Silk Mills Compd., LBS Marg, Mumbai-78",GATE
27,AUDITOR,Price Waterhouse,GATE
28,CHM, Gopinath Pillai,GATE
29,COMP SEC, R. Kumar (CFO),GATE
30,YEAR OF INC, 1994,GATE
31,BSE CODE, 532622,GATE
32,FV (Rs), 10,GATE
33,DIV YIELD (%), 4.6,GATE
