,0,1,name
0,Price,410.6,GDSP
1,Mkt Cap,137900.0,GDSP
2,Vol,5.4,GDSP
3,P/E,36.9,GDSP
4,P/CF,13.3,GDSP
5,EPS (TTM),11.1,GDSP
6,% ch,-0.4,GDSP
7,No. of shares,335.89,GDSP
8,% ch week,6.8,GDSP
9,% ch 1-mth,12.5,GDSP
10,% ch 12-mth,-5.5,GDSP
11,52 week H/L,458.2/234.0,GDSP
12,52weekHigh,458.2,GDSP
13,52weekLow,234.0,GDSP
14,Indian Promoters,74.9%,GDSP
15,Foreign collaborators,0.0%,GDSP
16,Indian inst/Mut Fund,3.6%,GDSP
17,FIIs,11.2%,GDSP
18,ADR/GDR,0.0%,GDSP
19,Free float,10.3%,GDSP
20,Shareholders,44482,GDSP
21,Pledged promoter(s) holding,0.0%,GDSP
22,REGD OFF,"Pirojshanagar, Eastern Express Highway, Vikhroli (E), Mumbai - 400 079",GDSP
23,E-MAIL,investor@godrejinds.com,GDSP
24,TELEPHONE,(022) 2518 8010,GDSP
25,SECTOR,CONSUMER PRODUCTS,GDSP
26,TR AGENT,"Computech Sharecap Ltd., 147, M. G. Road, Fort, Mumbai - 400 001",GDSP
27,AUDITOR,Kalyaniwalla & Mistry,GDSP
28,CHM, A. B. Godrej,GDSP
29,COMP SEC, K. R. Rajput,GDSP
30,YEAR OF INC, 1928,GDSP
31,BSE CODE, 500164,GDSP
32,FV (Rs), 1,GDSP
33,DIV YIELD (%), 0.3,GDSP
