,0,1,name
0,Price,41.3,GEOJIT
1,Mkt Cap,9456.0,GEOJIT
2,Vol,11.9,GEOJIT
3,P/E,25.8,GEOJIT
4,P/CF,10.3,GEOJIT
5,EPS (TTM),1.6,GEOJIT
6,% ch,0.2,GEOJIT
7,No. of shares,229.24,GEOJIT
8,% ch week,5.6,GEOJIT
9,% ch 1-mth,5.2,GEOJIT
10,% ch 12-mth,75.9,GEOJIT
11,52 week H/L,43.7/15.0,GEOJIT
12,52weekHigh,43.7,GEOJIT
13,52weekLow,15.0,GEOJIT
14,Indian Promoters,30.6%,GEOJIT
15,Foreign collaborators,33.5%,GEOJIT
16,Indian inst/Mut Fund,0.4%,GEOJIT
17,FIIs,2.4%,GEOJIT
18,ADR/GDR,0.0%,GEOJIT
19,Free float,33.2%,GEOJIT
20,Shareholders,36145,GEOJIT
21,Pledged promoter(s) holding,0.0%,GEOJIT
22,REGD OFF,"34/659-P, Civil Line Road, Padivattom, Kochi - 682 024",GEOJIT
23,E-MAIL,companysecretary@geojit.com,GEOJIT
24,TELEPHONE,(0484) 290 1000,GEOJIT
25,SECTOR,MISCELLANEOUS,GEOJIT
26,TR AGENT,"SKDC Consultants, Kanapathy Towers, 1391/A-1, Ganapathy, Coimbatore-06",GEOJIT
27,AUDITOR,Deloitte Haskins & Sells,GEOJIT
28,CHM, A. P. Kurian,GEOJIT
29,COMP SEC, Liju K. Johnson,GEOJIT
30,YEAR OF INC, 1987,GEOJIT
31,BSE CODE, 532285,GEOJIT
32,FV (Rs), 1,GEOJIT
33,DIV YIELD (%), 5.0,GEOJIT
