,0,1,name
0,Price,200.8,GJAX
1,Mkt Cap,27934.0,GJAX
2,Vol,1.4,GJAX
3,P/E,19.2,GJAX
4,P/CF,9.5,GJAX
5,EPS (TTM),10.5,GJAX
6,% ch,1.8,GJAX
7,No. of shares,139.15,GJAX
8,% ch week,7.5,GJAX
9,% ch 1-mth,26.4,GJAX
10,% ch 12-mth,45.9,GJAX
11,52 week H/L,206.0/85.1,GJAX
12,52weekHigh,206.0,GJAX
13,52weekLow,85.1,GJAX
14,Indian Promoters,72.0%,GJAX
15,Foreign collaborators,0.0%,GJAX
16,Indian inst/Mut Fund,0.1%,GJAX
17,FIIs,0.1%,GJAX
18,ADR/GDR,0.0%,GJAX
19,Free float,27.9%,GJAX
20,Shareholders,52252,GJAX
21,Pledged promoter(s) holding,0.0%,GJAX
22,REGD OFF,"Ambuja Tower, Post Navjivan, Navrangpura, Ahmedabad - 380 014",GJAX
23,E-MAIL,jayvijay@ambujagroup.com,GJAX
24,TELEPHONE,(079) 2642 3316,GJAX
25,SECTOR,"BEVERAGES, FOOD & TOBACCO",GJAX
26,TR AGENT,"Jupiter Corp. Services, Ambuja Tower, Navrangpura, Ahmedabad-14",GJAX
27,AUDITOR,Kantilal Patel & Co.,GJAX
28,CHM, Vijay K. Gupta (MD),GJAX
29,COMP SEC, Manan C. Bhavsar,GJAX
30,YEAR OF INC, 1990,GJAX
31,BSE CODE, 524226,GJAX
32,FV (Rs), 2,GJAX
33,DIV YIELD (%), 0.4,GJAX
