,0,1,name
0,Price,487.9,GLPH
1,Mkt Cap,137656.0,GLPH
2,Vol,74.4,GLPH
3,P/E,17.7,GLPH
4,P/CF,11.0,GLPH
5,EPS (TTM),27.5,GLPH
6,% ch,-0.8,GLPH
7,No. of shares,282.17,GLPH
8,% ch week,1.4,GLPH
9,% ch 1-mth,14.7,GLPH
10,% ch 12-mth,29.0,GLPH
11,52 week H/L,572.7/168.0,GLPH
12,52weekHigh,572.7,GLPH
13,52weekLow,168.0,GLPH
14,Indian Promoters,48.3%,GLPH
15,Foreign collaborators,0.0%,GLPH
16,Indian inst/Mut Fund,6.9%,GLPH
17,FIIs,34.4%,GLPH
18,ADR/GDR,0.0%,GLPH
19,Free float,10.5%,GLPH
20,Shareholders,56727,GLPH
21,Pledged promoter(s) holding,0.0%,GLPH
22,REGD OFF,"B/2, Mahalaxmi Chambers, 22, Bhulabhai Desai Road, Mumbai - 400 026",GLPH
23,E-MAIL,complianceofficer@glenmarkpharma.com,GLPH
24,TELEPHONE,(022) 4018 9999,GLPH
25,SECTOR,PHARMACEUTICALS,GLPH
26,TR AGENT,"Karvy Computer, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",GLPH
27,AUDITOR,"Walker, Chandiok & Co.",GLPH
28,CHM, Glenn Saldanha (MD),GLPH
29,COMP SEC, Sanjay Kumar Chowdhary,GLPH
30,YEAR OF INC, 1977,GLPH
31,BSE CODE, 532296,GLPH
32,FV (Rs), 1,GLPH
33,DIV YIELD (%), 0.4,GLPH
