,0,1,name
0,Price,3636.6,GRFS
1,Mkt Cap,5491.0,GRFS
2,Vol,1.1,GRFS
3,P/E,19.2,GRFS
4,P/CF,17.7,GRFS
5,EPS (TTM),189.1,GRFS
6,% ch,-1.3,GRFS
7,No. of shares,1.51,GRFS
8,% ch week,5.7,GRFS
9,% ch 1-mth,4.4,GRFS
10,% ch 12-mth,-28.0,GRFS
11,52 week H/L,"5,605.0/2,700.0",GRFS
12,52weekHigh,"5,605.0",GRFS
13,52weekLow,"2,700.0",GRFS
14,Indian Promoters,0.0%,GRFS
15,Foreign collaborators,75.0%,GRFS
16,Indian inst/Mut Fund,14.2%,GRFS
17,FIIs,0.0%,GRFS
18,ADR/GDR,0.0%,GRFS
19,Free float,10.8%,GRFS
20,Shareholders,2625,GRFS
21,Pledged promoter(s) holding,0.0%,GRFS
22,REGD OFF,"5th Floor, Kushal Garden Arcade, 1 A, Peenya Indust. Area, Bangalore-560 058",GRFS
23,E-MAIL,investor.relations@noricangroup.com,GRFS
24,TELEPHONE,(080) 4020 1406,GRFS
25,SECTOR,CAPITAL GOODS,GRFS
26,TR AGENT,"Integrated Enter., Ramana Residency, 4 Cross, Malleswaram, Bangalore-03",GRFS
27,AUDITOR,M. K. Dandeker & Co.,GRFS
28,CHM, Viraj Naidu (MD),GRFS
29,COMP SEC, S. Mohan (VP - Finance & Admin.),GRFS
30,YEAR OF INC, 1984,GRFS
31,BSE CODE, 500068,GRFS
32,FV (Rs), 10,GRFS
33,DIV YIELD (%), 0.1,GRFS
