,0,1,name
0,Price,96.5,GRNPY
1,Mkt Cap,11648.0,GRNPY
2,Vol,0.7,GRNPY
3,P/E,35.7,GRNPY
4,P/CF,6.9,GRNPY
5,EPS (TTM),2.7,GRNPY
6,% ch,0.7,GRNPY
7,No. of shares,120.70,GRNPY
8,% ch week,11.4,GRNPY
9,% ch 1-mth,13.3,GRNPY
10,% ch 12-mth,-32.7,GRNPY
11,52 week H/L,195.3/70.2,GRNPY
12,52weekHigh,195.3,GRNPY
13,52weekLow,70.2,GRNPY
14,Indian Promoters,55.0%,GRNPY
15,Foreign collaborators,0.0%,GRNPY
16,Indian inst/Mut Fund,6.5%,GRNPY
17,FIIs,15.3%,GRNPY
18,ADR/GDR,0.0%,GRNPY
19,Free float,23.3%,GRNPY
20,Shareholders,3736,GRNPY
21,Pledged promoter(s) holding,0.0%,GRNPY
22,REGD OFF,"Makum Road, P.O. Tinsukia, Assam - 786 125",GRNPY
23,E-MAIL,agarwalskc@rediffmail.com,GRNPY
24,TELEPHONE,(033) 3051 5000,GRNPY
25,SECTOR,MISCELLANEOUS,GRNPY
26,TR AGENT,"S. K. Infosolutions, 34/1A, Sudhir Chatterjee Street, Kolkata-06",GRNPY
27,AUDITOR,D. Dhandaria & Co.,GRNPY
28,CHM, S. P. Mittal,GRNPY
29,COMP SEC, Kaushal Kumar Agarwal,GRNPY
30,YEAR OF INC, 1984,GRNPY
31,BSE CODE, 526797,GRNPY
32,FV (Rs), 1,GRNPY
33,DIV YIELD (%), 0.6,GRNPY
