,0,1,name
0,Price,415.4,GTZE
1,Mkt Cap,23109.0,GTZE
2,Vol,3.0,GTZE
3,P/E,77.5,GTZE
4,P/CF,12.7,GTZE
5,EPS (TTM),5.4,GTZE
6,% ch,-1.8,GTZE
7,No. of shares,55.63,GTZE
8,% ch week,6.6,GTZE
9,% ch 1-mth,17.9,GTZE
10,% ch 12-mth,-16.8,GTZE
11,52 week H/L,664.9/239.3,GTZE
12,52weekHigh,664.9,GTZE
13,52weekLow,239.3,GTZE
14,Indian Promoters,0.0%,GTZE
15,Foreign collaborators,75.0%,GTZE
16,Indian inst/Mut Fund,13.3%,GTZE
17,FIIs,0.2%,GTZE
18,ADR/GDR,0.0%,GTZE
19,Free float,11.5%,GTZE
20,Shareholders,18086,GTZE
21,Pledged promoter(s) holding,0.0%,GTZE
22,REGD OFF,"G-4, J.R Complex, Gate No.-4, Mandoli Delhi - 110 093",GTZE
23,E-MAIL,investor.grievance@federalmogul.com,GTZE
24,TELEPHONE,(011) 3078 1090,GTZE
25,SECTOR,"AUTO ANCILLARIES,FORGINGS",GTZE
26,TR AGENT,"Alankit Assignments, Alankit House, 2E/21, Jhandewalan Extn., Delhi-55",GTZE
27,AUDITOR,"Walker, Chandiok & Co.",GTZE
28,CHM, K. N. Subramaniam,GTZE
29,COMP SEC, Khalid Khan,GTZE
30,YEAR OF INC, 1954,GTZE
31,BSE CODE, 505744,GTZE
32,FV (Rs), 10,GTZE
33,DIV YIELD (%), -,GTZE
