,0,1,name
0,Price,1123.9,HDBK
1,Mkt Cap,6148317.0,HDBK
2,Vol,27.5,HDBK
3,P/E,22.5,HDBK
4,P/CF,10.2,HDBK
5,EPS (TTM),50.0,HDBK
6,% ch,0.6,HDBK
7,No. of shares,5470.76,HDBK
8,% ch week,8.7,HDBK
9,% ch 1-mth,0.5,HDBK
10,% ch 12-mth,-0.4,HDBK
11,52 week H/L,"1,304.1/738.9",HDBK
12,52weekHigh,"1,304.1",HDBK
13,52weekLow,738.9,HDBK
14,Indian Promoters,22.6%,HDBK
15,Foreign collaborators,0.0%,HDBK
16,Indian inst/Mut Fund,9.9%,HDBK
17,FIIs,34.1%,HDBK
18,ADR/GDR,17.0%,HDBK
19,Free float,16.4%,HDBK
20,Shareholders,415166,HDBK
21,Pledged promoter(s) holding,0.0%,HDBK
22,REGD OFF,"HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai-13",HDBK
23,E-MAIL,shareholder.grievances@hdfcbank.com,HDBK
24,TELEPHONE,(022) 6652 1000,HDBK
25,SECTOR,BANKING,HDBK
26,TR AGENT,"Datamatics Financial, B 5, Part B Cross Lane, MIDC, Mumbai-93",HDBK
27,AUDITOR,BSR & Co.,HDBK
28,CHM, C . M . Vasudev,HDBK
29,COMP SEC, Sanjay B. Dongre (Exec. V. P. - Legal),HDBK
30,YEAR OF INC, 1994,HDBK
31,BSE CODE, 500180,HDBK
32,FV (Rs), 1,HDBK
33,DIV YIELD (%), 0.2,HDBK
