,0,1,name
0,Price,89.5,HMTS
1,Mkt Cap,8807.0,HMTS
2,Vol,2.5,HMTS
3,P/E,66.4,HMTS
4,P/CF,3.2,HMTS
5,EPS (TTM),1.3,HMTS
6,% ch,-0.4,HMTS
7,No. of shares,98.46,HMTS
8,% ch week,18.0,HMTS
9,% ch 1-mth,38.0,HMTS
10,% ch 12-mth,-29.2,HMTS
11,52 week H/L,166.0/43.0,HMTS
12,52weekHigh,166.0,HMTS
13,52weekLow,43.0,HMTS
14,Indian Promoters,55.8%,HMTS
15,Foreign collaborators,1.3%,HMTS
16,Indian inst/Mut Fund,14.9%,HMTS
17,FIIs,0.9%,HMTS
18,ADR/GDR,0.0%,HMTS
19,Free float,27.1%,HMTS
20,Shareholders,21457,HMTS
21,Pledged promoter(s) holding,0.0%,HMTS
22,REGD OFF,"10/24, Kumar Krupa Road, High Grounds, Bangalore - 560 001",HMTS
23,E-MAIL,investors@himatsingka.com,HMTS
24,TELEPHONE,(080) 2237 8000,HMTS
25,SECTOR,TEXTILES,HMTS
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",HMTS
27,AUDITOR,Deloitte Haskins & Sells,HMTS
28,CHM, Dilip J. Thakkar,HMTS
29,COMP SEC," Ashok Sharma (VP- Treasury, Tax. & CS)",HMTS
30,YEAR OF INC, 1985,HMTS
31,BSE CODE, 514043,HMTS
32,FV (Rs), 5,HMTS
33,DIV YIELD (%), 2.8,HMTS
