,0,1,name
0,Price,39.0,HNCP
1,Mkt Cap,36037.0,HNCP
2,Vol,3.9,HNCP
3,P/E,-6.3,HNCP
4,P/CF,9.0,HNCP
5,EPS (TTM),-6.2,HNCP
6,% ch,0.4,HNCP
7,No. of shares,925.22,HNCP
8,% ch week,4.3,HNCP
9,% ch 1-mth,7.7,HNCP
10,% ch 12-mth,28.8,HNCP
11,52 week H/L,51.0/18.3,HNCP
12,52weekHigh,51.0,HNCP
13,52weekLow,18.3,HNCP
14,Indian Promoters,90.0%,HNCP
15,Foreign collaborators,0.0%,HNCP
16,Indian inst/Mut Fund,7.4%,HNCP
17,FIIs,0.0%,HNCP
18,ADR/GDR,0.0%,HNCP
19,Free float,2.6%,HNCP
20,Shareholders,64716,HNCP
21,Pledged promoter(s) holding,0.0%,HNCP
22,REGD OFF,"Tamra Bhavan, 1, Ashutosh Chowdhury Avenue, Calcutta - 700 019",HNCP
23,E-MAIL,singhi_cs@hindustancopper.com,HNCP
24,TELEPHONE,(033) 22832 226,HNCP
25,SECTOR,STEEL & RELATED,HNCP
26,TR AGENT,"CB Management Services, P-22, Bondel Road, Kolkata-700 019",HNCP
27,AUDITOR,M/s. A. Kayes & Co.,HNCP
28,CHM, Shakeel Ahmed (MD),HNCP
29,COMP SEC, C. S. Singhi,HNCP
30,YEAR OF INC, 1967,HNCP
31,BSE CODE, 513599,HNCP
32,FV (Rs), 5,HNCP
33,DIV YIELD (%), 1.3,HNCP
