,0,1,name
0,Price,6.2,HNMT
1,Mkt Cap,1296.0,HNMT
2,Vol,11.6,HNMT
3,P/E,5.1,HNMT
4,P/CF,4.6,HNMT
5,EPS (TTM),1.2,HNMT
6,% ch,-0.5,HNMT
7,No. of shares,208.77,HNMT
8,% ch week,2.5,HNMT
9,% ch 1-mth,10.7,HNMT
10,% ch 12-mth,11.5,HNMT
11,52 week H/L,8.4/2.5,HNMT
12,52weekHigh,8.4,HNMT
13,52weekLow,2.5,HNMT
14,Indian Promoters,32.3%,HNMT
15,Foreign collaborators,0.0%,HNMT
16,Indian inst/Mut Fund,14.4%,HNMT
17,FIIs,0.0%,HNMT
18,ADR/GDR,0.0%,HNMT
19,Free float,53.2%,HNMT
20,Shareholders,132124,HNMT
21,Pledged promoter(s) holding,38.9%,HNMT
22,REGD OFF,"Birla Building, 14th Floor, 9/1, Rajendra Nath Mukherjee Road, Kolkata - 700 001",HNMT
23,E-MAIL,hmcosecy@hindmotor.com,HNMT
24,TELEPHONE,(033) 2242 0932,HNMT
25,SECTOR,AUTOMOBILES/VEHICLES,HNMT
26,TR AGENT,"Karvy Computershare, Plot 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",HNMT
27,AUDITOR,S. R. Batliboi & Co.,HNMT
28,CHM, C. K. Birla,HNMT
29,COMP SEC, Shri Tarun Kumar Kabra,HNMT
30,YEAR OF INC, 1942,HNMT
31,BSE CODE, 500500,HNMT
32,FV (Rs), 10,HNMT
33,DIV YIELD (%), -,HNMT
