,0,1,name
0,Price,91.0,HOEX
1,Mkt Cap,11875.0,HOEX
2,Vol,4.5,HOEX
3,P/E,8.8,HOEX
4,P/CF,5.9,HOEX
5,EPS (TTM),10.4,HOEX
6,% ch,0.9,HOEX
7,No. of shares,130.49,HOEX
8,% ch week,16.8,HOEX
9,% ch 1-mth,32.7,HOEX
10,% ch 12-mth,-4.5,HOEX
11,52 week H/L,114.6/30.6,HOEX
12,52weekHigh,114.6,HOEX
13,52weekLow,30.6,HOEX
14,Indian Promoters,0.0%,HOEX
15,Foreign collaborators,47.2%,HOEX
16,Indian inst/Mut Fund,1.6%,HOEX
17,FIIs,4.9%,HOEX
18,ADR/GDR,0.0%,HOEX
19,Free float,46.4%,HOEX
20,Shareholders,80399,HOEX
21,Pledged promoter(s) holding,0.0%,HOEX
22,REGD OFF,"HOEC House, Tandalja Road, Vadodara - 390 020",HOEX
23,E-MAIL,hoecshare@hoec.com,HOEX
24,TELEPHONE,(044) 6622 9103,HOEX
25,SECTOR,ENERGY SOURCES,HOEX
26,TR AGENT,"Link Intime India, B-102-103, Shangrila Complex, 1st Flr., Akota, Vadodara-20",HOEX
27,AUDITOR,S. R. Batliboi & Assoc.,HOEX
28,CHM, R. Vasudevan,HOEX
29,COMP SEC, Mr. Minesh Bhatt,HOEX
30,YEAR OF INC, 1983,HOEX
31,BSE CODE, 500186,HOEX
32,FV (Rs), 10,HOEX
33,DIV YIELD (%), -,HOEX
