,0,1,name
0,Price,41.5,HOVS
1,Mkt Cap,520.0,HOVS
2,Vol,2.6,HOVS
3,P/E,40.2,HOVS
4,P/CF,15.1,HOVS
5,EPS (TTM),1.0,HOVS
6,% ch,4.5,HOVS
7,No. of shares,12.54,HOVS
8,% ch week,9.2,HOVS
9,% ch 1-mth,0.0,HOVS
10,% ch 12-mth,-42.4,HOVS
11,52 week H/L,90.6/22.3,HOVS
12,52weekHigh,90.6,HOVS
13,52weekLow,22.3,HOVS
14,Indian Promoters,0.2%,HOVS
15,Foreign collaborators,49.3%,HOVS
16,Indian inst/Mut Fund,0.0%,HOVS
17,FIIs,0.1%,HOVS
18,ADR/GDR,0.0%,HOVS
19,Free float,50.5%,HOVS
20,Shareholders,8484,HOVS
21,Pledged promoter(s) holding,0.0%,HOVS
22,REGD OFF,"3rd Floor, Sharda Arcade, Pune Satara Road, Bibwewadi, Pune-411 037",HOVS
23,E-MAIL,bhuvanesh.sharma@hovservices.com,HOVS
24,TELEPHONE,(020) 2423 1623,HOVS
25,SECTOR,SOFTWARE,HOVS
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",HOVS
27,AUDITOR,Lodha & Co.,HOVS
28,CHM, Sunil Rajadhyaksha,HOVS
29,COMP SEC, Bhuvanesh Sharma,HOVS
30,YEAR OF INC, 1989,HOVS
31,BSE CODE, 532761,HOVS
32,FV (Rs), 10,HOVS
33,DIV YIELD (%), -,HOVS
