,0,1,name
0,Price,3033.6,HROH
1,Mkt Cap,605773.0,HROH
2,Vol,1.9,HROH
3,P/E,16.7,HROH
4,P/CF,16.0,HROH
5,EPS (TTM),181.9,HROH
6,% ch,0.6,HROH
7,No. of shares,199.69,HROH
8,% ch week,3.6,HROH
9,% ch 1-mth,10.7,HROH
10,% ch 12-mth,17.1,HROH
11,52 week H/L,"3,075.1/1,475.0",HROH
12,52weekHigh,"3,075.1",HROH
13,52weekLow,"1,475.0",HROH
14,Indian Promoters,52.2%,HROH
15,Foreign collaborators,0.0%,HROH
16,Indian inst/Mut Fund,8.5%,HROH
17,FIIs,30.6%,HROH
18,ADR/GDR,0.0%,HROH
19,Free float,8.8%,HROH
20,Shareholders,75661,HROH
21,Pledged promoter(s) holding,0.0%,HROH
22,REGD OFF,"34, Community Centre, Basant Lok, Vasant Vihar, New Delhi - 110 057",HROH
23,E-MAIL,ilam.kamboj@heromotocorp.com,HROH
24,TELEPHONE,(011)4604 4100,HROH
25,SECTOR,AUTOMOBILES/VEHICLES,HROH
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",HROH
27,AUDITOR,Deloitte Haskins & Sells,HROH
28,CHM, Brijmohan Lall Munjal,HROH
29,COMP SEC, Ilam C. Kamboj,HROH
30,YEAR OF INC, 1985,HROH
31,BSE CODE, 500182,HROH
32,FV (Rs), 2,HROH
33,DIV YIELD (%), 3.0,HROH
