,0,1,name
0,Price,228.0,HZNC
1,Mkt Cap,963162.0,HZNC
2,Vol,65.1,HZNC
3,P/E,15.1,HZNC
4,P/CF,9.8,HZNC
5,EPS (TTM),15.1,HZNC
6,% ch,0.4,HZNC
7,No. of shares,4225.32,HZNC
8,% ch week,-0.9,HZNC
9,% ch 1-mth,13.8,HZNC
10,% ch 12-mth,10.3,HZNC
11,52 week H/L,258.8/122.0,HZNC
12,52weekHigh,258.8,HZNC
13,52weekLow,122.0,HZNC
14,Indian Promoters,64.9%,HZNC
15,Foreign collaborators,0.0%,HZNC
16,Indian inst/Mut Fund,30.9%,HZNC
17,FIIs,2.5%,HZNC
18,ADR/GDR,0.0%,HZNC
19,Free float,1.6%,HZNC
20,Shareholders,56550,HZNC
21,Pledged promoter(s) holding,0.0%,HZNC
22,REGD OFF,"Yashad Bhawan, Udaipur - 313 004",HZNC
23,E-MAIL,investorgrievanceshzl@vedanta.co.in,HZNC
24,TELEPHONE,(0294) 252 9181,HZNC
25,SECTOR,MINING/MINERALS,HZNC
26,TR AGENT,"Sharepro Serv., 13 AB, Samhita Warehousing, 2nd Flr, Andheri (E), Mumbai-72",HZNC
27,AUDITOR,Deloitte Haskins & Sells,HZNC
28,CHM, Agnivesh Agarwal,HZNC
29,COMP SEC, Rajendra Pandwal,HZNC
30,YEAR OF INC, 1966,HZNC
31,BSE CODE, 500188,HZNC
32,FV (Rs), 2,HZNC
33,DIV YIELD (%), 8.8,HZNC
