,0,1,name
0,Price,66.8,IBRL
1,Mkt Cap,28389.0,IBRL
2,Vol,648.0,IBRL
3,P/E,23.1,IBRL
4,P/CF,5.5,IBRL
5,EPS (TTM),2.9,IBRL
6,% ch,-5.3,IBRL
7,No. of shares,424.98,IBRL
8,% ch week,-2.4,IBRL
9,% ch 1-mth,25.9,IBRL
10,% ch 12-mth,-6.8,IBRL
11,52 week H/L,113.0/36.9,IBRL
12,52weekHigh,113.0,IBRL
13,52weekLow,36.9,IBRL
14,Indian Promoters,37.7%,IBRL
15,Foreign collaborators,0.0%,IBRL
16,Indian inst/Mut Fund,1.3%,IBRL
17,FIIs,28.9%,IBRL
18,ADR/GDR,0.1%,IBRL
19,Free float,31.9%,IBRL
20,Shareholders,103927,IBRL
21,Pledged promoter(s) holding,0.0%,IBRL
22,REGD OFF,"M - 62 & 63, First Floor, Connaught Place, New Delhi - 110 001",IBRL
23,E-MAIL,helpdesk@indiabulls.com,IBRL
24,TELEPHONE,(0124) 668 1199,IBRL
25,SECTOR,CONSTRUCTION,IBRL
26,TR AGENT,"Karvy Computershare, 17-24, Vithalrao Nagar, Madhapur, Hyderabad-81",IBRL
27,AUDITOR,Sharma Goel & Co.,IBRL
28,CHM, Sameer Gehlaut,IBRL
29,COMP SEC, Ravi Telkar,IBRL
30,YEAR OF INC, 2006,IBRL
31,BSE CODE, 532832,IBRL
32,FV (Rs), 2,IBRL
33,DIV YIELD (%), -,IBRL
