,0,1,name
0,Price,2847.0,ICRA
1,Mkt Cap,27473.0,ICRA
2,Vol,0.2,ICRA
3,P/E,33.0,ICRA
4,P/CF,24.9,ICRA
5,EPS (TTM),86.3,ICRA
6,% ch,3.1,ICRA
7,No. of shares,9.65,ICRA
8,% ch week,11.3,ICRA
9,% ch 1-mth,12.4,ICRA
10,% ch 12-mth,8.2,ICRA
11,52 week H/L,"3,227.0/1,968.0",ICRA
12,52weekHigh,"3,227.0",ICRA
13,52weekLow,"1,968.0",ICRA
14,Indian Promoters,28.5%,ICRA
15,Foreign collaborators,21.6%,ICRA
16,Indian inst/Mut Fund,24.5%,ICRA
17,FIIs,12.3%,ICRA
18,ADR/GDR,0.0%,ICRA
19,Free float,13.2%,ICRA
20,Shareholders,14670,ICRA
21,Pledged promoter(s) holding,0.0%,ICRA
22,REGD OFF,"1105, Kailash Building, 11th Floor, 26 Kasturba Gandhi Marg, New Delhi-01",ICRA
23,E-MAIL,investors@icraindia.com,ICRA
24,TELEPHONE,(0124) 454 5300,ICRA
25,SECTOR,RATING AGENCIES,ICRA
26,TR AGENT,"Link Intime India, 44, Naraina Indl. Area, Phase I, New Delhi-28",ICRA
27,AUDITOR,Vipin Aggarwal & Assoc.,ICRA
28,CHM, D. N. Ghosh,ICRA
29,COMP SEC, Vijay Wadhwa (CFO),ICRA
30,YEAR OF INC, 1991,ICRA
31,BSE CODE, 532835,ICRA
32,FV (Rs), 10,ICRA
33,DIV YIELD (%), 1.1,ICRA
