,0,1,name
0,Price,9.1,IDEA
1,Mkt Cap,79405.0,IDEA
2,Vol,114998.9,IDEA
3,P/E,-0.1,IDEA
4,P/CF,-30.0,IDEA
5,EPS (TTM),-108.6,IDEA
6,% ch,6.6,IDEA
7,No. of shares,8735.39,IDEA
8,% ch week,1.2,IDEA
9,% ch 1-mth,8.0,IDEA
10,% ch 12-mth,64.7,IDEA
11,52 week H/L,12.6/2.6,IDEA
12,52weekHigh,12.6,IDEA
13,52weekLow,2.6,IDEA
14,Indian Promoters,42.9%,IDEA
15,Foreign collaborators,0.0%,IDEA
16,Indian inst/Mut Fund,4.5%,IDEA
17,FIIs,21.6%,IDEA
18,ADR/GDR,0.0%,IDEA
19,Free float,30.9%,IDEA
20,Shareholders,266634,IDEA
21,Pledged promoter(s) holding,0.0%,IDEA
22,REGD OFF,"Suman Tower, Plot No. 18, Sector-11, Gandhinagar - 382 011",IDEA
23,E-MAIL,pankaj.kapdeo@idea.adityabirla.com,IDEA
24,TELEPHONE,(079) 6671 4000,IDEA
25,SECTOR,TELECOM,IDEA
26,TR AGENT,"Bigshare Services, E-2/3, Ansa Indl. Estate, Sakinaka, Andheri, Mumbai-72",IDEA
27,AUDITOR,Deloitte Haskins & Sells,IDEA
28,CHM, Kumar Mangalam Birla,IDEA
29,COMP SEC, Pankaj Kapdeo,IDEA
30,YEAR OF INC, 1995,IDEA
31,BSE CODE, 532822,IDEA
32,FV (Rs), 10,IDEA
33,DIV YIELD (%), -,IDEA
