,0,1,name
0,Price,4.1,IFVN
1,Mkt Cap,1288.0,IFVN
2,Vol,48.0,IFVN
3,P/E,-33.7,IFVN
4,P/CF,6.1,IFVN
5,EPS (TTM),-0.1,IFVN
6,% ch,-1.9,IFVN
7,No. of shares,314.03,IFVN
8,% ch week,2.0,IFVN
9,% ch 1-mth,33.1,IFVN
10,% ch 12-mth,34.4,IFVN
11,52 week H/L,4.6/1.6,IFVN
12,52weekHigh,4.6,IFVN
13,52weekLow,1.6,IFVN
14,Indian Promoters,50.5%,IFVN
15,Foreign collaborators,0.0%,IFVN
16,Indian inst/Mut Fund,3.7%,IFVN
17,FIIs,0.4%,IFVN
18,ADR/GDR,0.0%,IFVN
19,Free float,45.4%,IFVN
20,Shareholders,31147,IFVN
21,Pledged promoter(s) holding,100.0%,IFVN
22,REGD OFF,"IL&FS Financial Centre, Plot No C-22, G Block, BKC, Bandra (E), Mumbai-51",IFVN
23,E-MAIL,sanjay.mitra@ilfsindia.com,IFVN
24,TELEPHONE,(022) 2659 3531,IFVN
25,SECTOR,MISCELLANEOUS,IFVN
26,TR AGENT,"Link Intime India, C13, Pannalal Silk Mills Compd., LBS Marg, Mumbai-78",IFVN
27,AUDITOR,Deloitte Haskins & Sells,IFVN
28,CHM, S. M. Datta,IFVN
29,COMP SEC, Sanjay Mitra,IFVN
30,YEAR OF INC, 1997,IFVN
31,BSE CODE, 511208,IFVN
32,FV (Rs), 2,IFVN
33,DIV YIELD (%), 14.6,IFVN
