,0,1,name
0,Price,248.4,INDOCO
1,Mkt Cap,22896.0,INDOCO
2,Vol,0.0,INDOCO
3,P/E,94.6,INDOCO
4,P/CF,21.0,INDOCO
5,EPS (TTM),2.6,INDOCO
6,% ch,0.0,INDOCO
7,No. of shares,92.18,INDOCO
8,% ch week,-2.4,INDOCO
9,% ch 1-mth,19.8,INDOCO
10,% ch 12-mth,79.6,INDOCO
11,52 week H/L,285.0/133.1,INDOCO
12,52weekHigh,285.0,INDOCO
13,52weekLow,133.1,INDOCO
14,Indian Promoters,59.2%,INDOCO
15,Foreign collaborators,0.0%,INDOCO
16,Indian inst/Mut Fund,12.5%,INDOCO
17,FIIs,6.0%,INDOCO
18,ADR/GDR,0.0%,INDOCO
19,Free float,22.4%,INDOCO
20,Shareholders,12805,INDOCO
21,Pledged promoter(s) holding,0.0%,INDOCO
22,REGD OFF,"166, Indoco House, CST Road, kalina, Santacruz (E), Mumbai - 400 098",INDOCO
23,E-MAIL,sunil.joshi@indoco.com,INDOCO
24,TELEPHONE,(022) 2654 1851,INDOCO
25,SECTOR,MISCELLANEOUS,INDOCO
26,TR AGENT,"Link Intime India, C13, Pannalal Silk Mills Compd., LBS Marg, Mumbai-78",INDOCO
27,AUDITOR,Patkar & Pendse,INDOCO
28,CHM, Suresh G. Kare (MD),INDOCO
29,COMP SEC, Sunil D. Joshi,INDOCO
30,YEAR OF INC, 1945,INDOCO
31,BSE CODE, 532612,INDOCO
32,FV (Rs), 2,INDOCO
33,DIV YIELD (%), 0.4,INDOCO
