,0,1,name
0,Price,31.8,INTT
1,Mkt Cap,264.0,INTT
2,Vol,0.2,INTT
3,P/E,19.8,INTT
4,P/CF,4.7,INTT
5,EPS (TTM),1.6,INTT
6,% ch,0.0,INTT
7,No. of shares,8.32,INTT
8,% ch week,14.8,INTT
9,% ch 1-mth,12.0,INTT
10,% ch 12-mth,-29.3,INTT
11,52 week H/L,58.0/19.5,INTT
12,52weekHigh,58.0,INTT
13,52weekLow,19.5,INTT
14,Indian Promoters,56.5%,INTT
15,Foreign collaborators,9.1%,INTT
16,Indian inst/Mut Fund,0.0%,INTT
17,FIIs,0.0%,INTT
18,ADR/GDR,0.0%,INTT
19,Free float,34.5%,INTT
20,Shareholders,4115,INTT
21,Pledged promoter(s) holding,0.0%,INTT
22,REGD OFF,"SF112, Madhapur Road, Kaniyur Village, Coimbatore",INTT
23,E-MAIL,nationalfittingsltd@gmail.com,INTT
24,TELEPHONE,,INTT
25,SECTOR,METAL PRODUCTS,INTT
26,TR AGENT,SKDC Consultants Ltd,INTT
27,CHM, Mr A.V. Palaniswamy,INTT
28,COMP SEC, Mr. S. Aravinthan,INTT
29,YEAR OF INC,,INTT
30,BSE CODE, 531289,INTT
31,FV (Rs), 10,INTT
32,DIV YIELD (%), 5.2,INTT
