,0,1,name
0,Price,10.9,IOB
1,Mkt Cap,13453.0,IOB
2,Vol,29.1,IOB
3,P/E,-0.1,IOB
4,P/CF,1.9,IOB
5,EPS (TTM),-86.3,IOB
6,% ch,-2.5,IOB
7,No. of shares,1235.34,IOB
8,% ch week,3.7,IOB
9,% ch 1-mth,2.0,IOB
10,% ch 12-mth,8.1,IOB
11,52 week H/L,13.8/6.2,IOB
12,52weekHigh,13.8,IOB
13,52weekLow,6.2,IOB
14,Indian Promoters,73.8%,IOB
15,Foreign collaborators,0.0%,IOB
16,Indian inst/Mut Fund,15.3%,IOB
17,FIIs,1.9%,IOB
18,ADR/GDR,0.0%,IOB
19,Free float,9.1%,IOB
20,Shareholders,250609,IOB
21,Pledged promoter(s) holding,0.0%,IOB
22,REGD OFF,"762, Anna Salai, Chennai - 600 002",IOB
23,E-MAIL,investor@iobnet.co.in,IOB
24,TELEPHONE,(044) 2851 9791,IOB
25,SECTOR,BANKING,IOB
26,TR AGENT,"Cameo Corporate Services, Subramani Bldg, Club House Rd., Chennai-02",IOB
27,AUDITOR,B. Thiagarajan & Co.,IOB
28,CHM, M. Narendra (MD),IOB
29,COMP SEC, Deepa Chellam,IOB
30,YEAR OF INC, 1937,IOB
31,BSE CODE, 532388,IOB
32,FV (Rs), 10,IOB
33,DIV YIELD (%), -,IOB
